ncppb_number,ncppb_number_compact,current_name,name_as_received,alternative_names,pathovar,host,country,other_collection_numbers,ncppb_catalogue_url,catalogue_sequence_links,sequencing_type,year_added,type_strain_of_species,pathotype_strain,other_references,notes,raw_record_text
NCPPB 2826,NCPPB2826,Xanthomonas translucens pv. undulosa (Smith et al. 1919) Vauterin et al. 1995,Xanthomonas translucens f.sp . undulosa Smith et al. 1919,Xanthomonas campestris pv. undulosa (Smith et al. 1919) Dye 1978,pv. undulosa,Triticum sp. x Secale sp. (triticale),Canada,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2826,,,1975,No,No,The donor reference is 5673,,NCPPB No. 2826: Catalogue name: Xanthomonas translucens pv. undulosa (Smith et al. 1919) Vauterin et al. 1995 Name as received: Xanthomonas translucens f.sp . undulosa Smith et al. 1919 Other name: Xanthomonas campestris pv. undulosa (Smith et al. 1919) Dye 1978 Country: Canada Host: Triticum sp. x Secale sp. (triticale) Year Added: 1975 Type strain of the species: No Pathotype strain: No Other references: The donor reference is 5673
NCPPB 2827,NCPPB2827,Xanthomonas cerealis pv. cerealis Tambong et al. 2024,Xanthomonas translucens f.sp cerealis Hagborg 1942,Xanthomonas campestris pv. cerealis (Hagborg 1942) Dye 1978,pv. cerealis,Agropyron repens,Canada,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2827,,,1975,No,No,The donor reference is 5690,,NCPPB No. 2827: Catalogue name: Xanthomonas cerealis pv. cerealis Tambong et al. 2024 Name as received: Xanthomonas translucens f.sp cerealis Hagborg 1942 Other name: Xanthomonas campestris pv. cerealis (Hagborg 1942) Dye 1978 Country: Canada Host: Agropyron repens Year Added: 1975 Type strain of the species: No Pathotype strain: No Other references: The donor reference is 5690
NCPPB 2828,NCPPB2828,Xanthomonas translucens pv. undulosa (Smith et al. 1919) Vauterin et al. 1995,Xanthomonas translucens f.sp . undulosa Smith et al,Xanthomonas campestris pv. undulosa (Smith et al. 1919) Dye 1978,pv. undulosa,Triticum aestivum,Canada,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2828,,,1975,No,No,The donor reference is 5777,,NCPPB No. 2828: Catalogue name: Xanthomonas translucens pv. undulosa (Smith et al. 1919) Vauterin et al. 1995 Name as received: Xanthomonas translucens f.sp . undulosa Smith et al Other name: Xanthomonas campestris pv. undulosa (Smith et al. 1919) Dye 1978 Country: Canada Host: Triticum aestivum Year Added: 1975 Type strain of the species: No Pathotype strain: No Other references: The donor reference is 5777
NCPPB 2829,NCPPB2829,Xanthomonas translucens pv. translucens (Jones et al. 1917) Vauterin et al. 1995,X. translucens f. sp. hordei-avenae,Xanthomonas campestris pv. translucens (Jones et al. 1917) Dye 1978,pv. translucens,Hordeum vulgare,Canada,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2829,,,1975,No,No,The donor reference is 5781,,NCPPB No. 2829: Catalogue name: Xanthomonas translucens pv. translucens (Jones et al. 1917) Vauterin et al. 1995 Name as received: X. translucens f. sp. hordei-avenae Other name: Xanthomonas campestris pv. translucens (Jones et al. 1917) Dye 1978 Country: Canada Host: Hordeum vulgare Year Added: 1975 Type strain of the species: No Pathotype strain: No Other references: The donor reference is 5781
NCPPB 2831,NCPPB2831,Xanthomonas cerealis pv. cerealis Tambong et al. 2024,Xanthomonas translucens f.sp cerealis Hagborg 1942,Xanthomonas campestris pv. cerealis (Hagborg 1942) Dye 1978,pv. cerealis,Triticum durum.,Canada,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2831,,,1975,No,No,The donor reference is 5897,,NCPPB No. 2831: Catalogue name: Xanthomonas cerealis pv. cerealis Tambong et al. 2024 Name as received: Xanthomonas translucens f.sp cerealis Hagborg 1942 Other name: Xanthomonas campestris pv. cerealis (Hagborg 1942) Dye 1978 Country: Canada Host: Triticum durum. Year Added: 1975 Type strain of the species: No Pathotype strain: No Other references: The donor reference is 5897
NCPPB 2832,NCPPB2832,Xanthomonas citri pv. aracearum (Berniac 1974) Constantin et al. 2016 comb. nov.,,,pv. aracearum,Xanthosoma sagittifolium,Guadeloupe,ICMP 5381; LMG 532,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2832,,,1975,No,Yes,"This isolate is also in the collections; ICMP 5381, LMG 532 This isolate was isolated by ex M. Beramis",,"NCPPB No. 2832: Catalogue name: Xanthomonas citri pv. aracearum (Berniac 1974) Constantin et al. 2016 comb. nov. Country: Guadeloupe Host: Xanthosoma sagittifolium Year Added: 1975 Type strain of the species: No Pathotype strain: Yes Other references: This isolate is also in the collections; ICMP 5381, LMG 532 This isolate was isolated by ex M. Beramis"
NCPPB 2834,NCPPB2834,Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.,Xanthomonas malvacearum (Smith 1901) Dowson 1939,Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978,pv. malvacearum,Gossypium hirsutum,Tanzania,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2834,,,1975,No,No,The donor reference is UKP 33 The source of this isolate was ex S.J. Brown,The group classification of Hayward (1964b) and the race classification of Hunter et al. (1968) is used.,NCPPB No. 2834: Catalogue name: Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov. Name as received: Xanthomonas malvacearum (Smith 1901) Dowson 1939 Other name: Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978 Country: Tanzania Host: Gossypium hirsutum Year Added: 1975 Type strain of the species: No Pathotype strain: No Notes: The group classification of Hayward (1964b) and the race classification of Hunter et al. (1968) is used. Other references: The donor reference is UKP 33 The source of this isolate was ex S.J. Brown
NCPPB 2835,NCPPB2835,Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.,Xanthomonas malvacearum (Smith 1901) Dowson 1939,Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978,pv. malvacearum,Gossypium hirsutum,Tanzania,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2835,,,1975,No,No,The donor reference is UKP 37 The source of this isolate was ex S.J. Brown,The group classification of Hayward (1964b) and the race classification of Hunter et al. (1968) is used.,NCPPB No. 2835: Catalogue name: Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov. Name as received: Xanthomonas malvacearum (Smith 1901) Dowson 1939 Other name: Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978 Country: Tanzania Host: Gossypium hirsutum Year Added: 1975 Type strain of the species: No Pathotype strain: No Notes: The group classification of Hayward (1964b) and the race classification of Hunter et al. (1968) is used. Other references: The donor reference is UKP 37 The source of this isolate was ex S.J. Brown
NCPPB 2836,NCPPB2836,Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.,Xanthomonas malvacearum (Smith 1901) Dowson 1939,Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978,pv. malvacearum,,Tanzania,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2836,,,1975,No,No,,,NCPPB No. 2836: Catalogue name: Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov. Name as received: Xanthomonas malvacearum (Smith 1901) Dowson 1939 Other name: Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978 Country: Tanzania Year Added: 1975 Type strain of the species: No Pathotype strain: No Other references:
NCPPB 2837,NCPPB2837,Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.,Xanthomonas malvacearum (Smith 1901) Dowson 1939,Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978,pv. malvacearum,Gossypium hirsutum,Tanzania,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2837,,,1975,No,No,The donor reference is UKP 783 This isolate was isolated by ex D.L. Ebbels,The group classification of Hayward (1964b) and the race classification of Hunter et al. (1968) is used.,NCPPB No. 2837: Catalogue name: Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov. Name as received: Xanthomonas malvacearum (Smith 1901) Dowson 1939 Other name: Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978 Country: Tanzania Host: Gossypium hirsutum Year Added: 1975 Type strain of the species: No Pathotype strain: No Notes: The group classification of Hayward (1964b) and the race classification of Hunter et al. (1968) is used. Other references: The donor reference is UKP 783 This isolate was isolated by ex D.L. Ebbels
NCPPB 2838,NCPPB2838,Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.,Xanthomonas malvacearum (Smith 1901) Dowson 1939,Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978,pv. malvacearum,Gossypium hirsutum,Tanzania,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2838,,,1975,No,No,The donor reference is UKP 765 This isolate was isolated by ex D.L. Ebbels,The group classification of Hayward (1964b) and the race classification of Hunter et al. (1968) is used.,NCPPB No. 2838: Catalogue name: Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov. Name as received: Xanthomonas malvacearum (Smith 1901) Dowson 1939 Other name: Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978 Country: Tanzania Host: Gossypium hirsutum Year Added: 1975 Type strain of the species: No Pathotype strain: No Notes: The group classification of Hayward (1964b) and the race classification of Hunter et al. (1968) is used. Other references: The donor reference is UKP 765 This isolate was isolated by ex D.L. Ebbels
NCPPB 2839,NCPPB2839,Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.,Xanthomonas malvacearum (Smith 1901) Dowson 1939,Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978,pv. malvacearum,Gossypium hirsutum,Tanzania,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2839,,,1975,No,No,The donor reference is UKP 784 This isolate was isolated by ex D.L. Ebbels,The group classification of Hayward (1964b) and the race classification of Hunter et al. (1968) is used.,NCPPB No. 2839: Catalogue name: Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov. Name as received: Xanthomonas malvacearum (Smith 1901) Dowson 1939 Other name: Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978 Country: Tanzania Host: Gossypium hirsutum Year Added: 1975 Type strain of the species: No Pathotype strain: No Notes: The group classification of Hayward (1964b) and the race classification of Hunter et al. (1968) is used. Other references: The donor reference is UKP 784 This isolate was isolated by ex D.L. Ebbels
NCPPB 2840,NCPPB2840,Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.,Xanthomonas malvacearum (Smith 1901) Dowson 1939,Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978,pv. malvacearum,Gossypium hirsutum,Tanzania,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2840,,,1975,No,No,The donor reference is UKP 852,The group classification of Hayward (1964b) and the race classification of Hunter et al. (1968) is used.,NCPPB No. 2840: Catalogue name: Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov. Name as received: Xanthomonas malvacearum (Smith 1901) Dowson 1939 Other name: Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978 Country: Tanzania Host: Gossypium hirsutum Year Added: 1975 Type strain of the species: No Pathotype strain: No Notes: The group classification of Hayward (1964b) and the race classification of Hunter et al. (1968) is used. Other references: The donor reference is UKP 852
NCPPB 2856,NCPPB2856,Xanthomonas sp. Dowson 1939,,Xanthomonas campestris (Pammel 1895) Dowson 1939 emend. Vauterin et al. 1995,,Chrysanthemum morifolium,Netherlands,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2856,,,1975,No,No,This isolate was isolated by F.W. Catton C798,Partial gene sequencing of gyrB (Parkinson et al. 2009) places this strain in Xanthomonas arboricola. Pathovar unspecified. Not pathogenic on Chrysanthemum morifolium (NCPPB). Fatty acid profile typical of Xanthomonas. Close to X.arboricola pv. pruni and pv.corylina,NCPPB No. 2856: Catalogue name: Xanthomonas sp. Dowson 1939 Other name: Xanthomonas campestris (Pammel 1895) Dowson 1939 emend. Vauterin et al. 1995 Country: Netherlands Host: Chrysanthemum morifolium Year Added: 1975 Type strain of the species: No Pathotype strain: No Notes: Partial gene sequencing of gyrB (Parkinson et al. 2009) places this strain in Xanthomonas arboricola. Pathovar unspecified. Not pathogenic on Chrysanthemum morifolium (NCPPB). Fatty acid profile typical of Xanthomonas. Close to X.arboricola pv. pruni and pv.corylina Other references: This isolate was isolated by F.W. Catton C798
NCPPB 2857,NCPPB2857,Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939,Xanthomonas campestris (Pammel 1895) Dowson 1939,,pv. campestris,Brassica napus,UK,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2857,,,1975,No,No,This isolate was isolated by W.F. Catton C799,,NCPPB No. 2857: Catalogue name: Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939 Name as received: Xanthomonas campestris (Pammel 1895) Dowson 1939 Country: UK Host: Brassica napus Year Added: 1975 Type strain of the species: No Pathotype strain: No Other references: This isolate was isolated by W.F. Catton C799
NCPPB 2859,NCPPB2859,Stenotrophomonas sp.,Xanthomonas corylina,Xanthomonas campestris pv. corylina (Miller et al. 1940) Dye 1978,,Corylus maxima,Turkey,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2859,,,1975,No,No,The source of this isolate was ex D. Massfeller ex R. Hazneci,"Not a Xanthomonas. 16s rRNA sequncing, gyrB sequencing, MALDI-TOF MS, Fatty acid profiling, all suggest Stenotrophomonas sp. PCR and Microsats analysis also suggest not a Xanthomonas sp.","NCPPB No. 2859: Catalogue name: Stenotrophomonas sp. Name as received: Xanthomonas corylina Other name: Xanthomonas campestris pv. corylina (Miller et al. 1940) Dye 1978 Country: Turkey Host: Corylus maxima Year Added: 1975 Type strain of the species: No Pathotype strain: No Notes: Not a Xanthomonas. 16s rRNA sequncing, gyrB sequencing, MALDI-TOF MS, Fatty acid profiling, all suggest Stenotrophomonas sp. PCR and Microsats analysis also suggest not a Xanthomonas sp. Other references: The source of this isolate was ex D. Massfeller ex R. Hazneci"
NCPPB 2864,NCPPB2864,Xanthomonas sp. Dowson 1939,,Xanthomonas campestris (Pammel 1895) Dowson 1939 emend. Vauterin et al. 1995,,Chrysanthemum morifolium,Netherlands,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2864,,,1975,No,No,This isolate was isolated by F.W. Catton 211/75/2,Partial gene sequencing of gyrB (Parkinson et al. 2009) places this strain in Xanthomonas arboricola. Pathovar unspecified. Not pathogenic on Chrysanthemum morifolium (NCPPB). Fatty acid profile typical of Xanthomonas. Close to X.arboricola pv. pruni and pv.corylina,NCPPB No. 2864: Catalogue name: Xanthomonas sp. Dowson 1939 Other name: Xanthomonas campestris (Pammel 1895) Dowson 1939 emend. Vauterin et al. 1995 Country: Netherlands Host: Chrysanthemum morifolium Year Added: 1975 Type strain of the species: No Pathotype strain: No Notes: Partial gene sequencing of gyrB (Parkinson et al. 2009) places this strain in Xanthomonas arboricola. Pathovar unspecified. Not pathogenic on Chrysanthemum morifolium (NCPPB). Fatty acid profile typical of Xanthomonas. Close to X.arboricola pv. pruni and pv.corylina Other references: This isolate was isolated by F.W. Catton 211/75/2
NCPPB 2865,NCPPB2865,Xanthomonas sp. Dowson 1939,,Xanthomonas campestris (Pammel 1895) Dowson 1939 emend. Vauterin et al. 1995,,Chrysanthemum morifolium,Netherlands,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2865,,,1975,No,No,This isolate was isolated by F.W. Catton 212/75/1,Partial gene sequencing of gyrB (Parkinson et al. 2009) places this strain in Xanthomonas arboricola. Pathovar unspecified. Fatty acid profile typical of Xanthomonas. Close to X.arboricola pv. pruni and pv.corylina,NCPPB No. 2865: Catalogue name: Xanthomonas sp. Dowson 1939 Other name: Xanthomonas campestris (Pammel 1895) Dowson 1939 emend. Vauterin et al. 1995 Country: Netherlands Host: Chrysanthemum morifolium Year Added: 1975 Type strain of the species: No Pathotype strain: No Notes: Partial gene sequencing of gyrB (Parkinson et al. 2009) places this strain in Xanthomonas arboricola. Pathovar unspecified. Fatty acid profile typical of Xanthomonas. Close to X.arboricola pv. pruni and pv.corylina Other references: This isolate was isolated by F.W. Catton 212/75/1
NCPPB 2866,NCPPB2866,Xanthomonas sp. Dowson 1939,,Xanthomonas campestris (Pammel 1895) Dowson 1939 emend. Vauterin et al. 1995,,Chrysanthemum morifolium,Netherlands,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2866,,,1975,No,No,This isolate was isolated by F.W. Catton 212/75/6,Partial gene sequencing of gyrB (Parkinson et al. 2009) places this strain in Xanthomonas arboricola. Pathovar unspecified. Not pathogenic on Chrysanthemum morifolium (NCPPB). Close to X.arboricola pv. pruni and pv.corylina,NCPPB No. 2866: Catalogue name: Xanthomonas sp. Dowson 1939 Other name: Xanthomonas campestris (Pammel 1895) Dowson 1939 emend. Vauterin et al. 1995 Country: Netherlands Host: Chrysanthemum morifolium Year Added: 1975 Type strain of the species: No Pathotype strain: No Notes: Partial gene sequencing of gyrB (Parkinson et al. 2009) places this strain in Xanthomonas arboricola. Pathovar unspecified. Not pathogenic on Chrysanthemum morifolium (NCPPB). Close to X.arboricola pv. pruni and pv.corylina Other references: This isolate was isolated by F.W. Catton 212/75/6
NCPPB 2876,NCPPB2876,Xanthomonas campestris pv. cannabis Severin 1978,,,pv. cannabis,Cannabis sativa,Romania,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2876,,,1976,No,No,This isolate was isolated by V. Severin XC7,,NCPPB No. 2876: Catalogue name: Xanthomonas campestris pv. cannabis Severin 1978 Country: Romania Host: Cannabis sativa Year Added: 1976 Type strain of the species: No Pathotype strain: No Other references: This isolate was isolated by V. Severin XC7
NCPPB 2877,NCPPB2877,Xanthomonas campestris pv. cannabis Severin 1978,,,pv. cannabis,Cannabis sativa,Romania,ICMP 6570; LMG 9042; CCUG 28779; DSMZ 44278; ATCC 49725,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2877,,,1976,No,Yes,"This isolate is also in the collections; ICMP 6570, LMG 9042, CCUG 28779, DSMZ 44278, ATCC 49725 This isolate was isolated by V. Severin XC8","The proposed type strain for ""Xanthomonas cannabis"" Jacobs et al. 2015","NCPPB No. 2877: Catalogue name: Xanthomonas campestris pv. cannabis Severin 1978 Country: Romania Host: Cannabis sativa Year Added: 1976 Type strain of the species: No Pathotype strain: Yes Notes: The proposed type strain for ""Xanthomonas cannabis"" Jacobs et al. 2015 Other references: This isolate is also in the collections; ICMP 6570, LMG 9042, CCUG 28779, DSMZ 44278, ATCC 49725 This isolate was isolated by V. Severin XC8"
NCPPB 2879,NCPPB2879,Xanthomonas campestris pv. cannabis Severin 1978,,,pv. cannabis,Cannabis sativa,Romania,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2879,,,1976,No,No,This isolate was isolated by V. Severin XC12,,NCPPB No. 2879: Catalogue name: Xanthomonas campestris pv. cannabis Severin 1978 Country: Romania Host: Cannabis sativa Year Added: 1976 Type strain of the species: No Pathotype strain: No Other references: This isolate was isolated by V. Severin XC12
NCPPB 2885,NCPPB2885,Xanthomonas citri pv. mangiferaeindicae (Patel et al. 1948) Constantin et al. 2016 comb. nov.,"Xanthomonas campestris pv. mangiferaeindicae (Patel et al. 1948) Robbs, Ribeiro & Kimura 1974",,pv. mangiferaeindicae,Mangifera indica,Reunion,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2885,,,1976,No,No,This isolate was isolated by ex J.G. Luisetti G21.5,Partial gene (gyrB) sequence indicates this is Xanthomonas citri.,"NCPPB No. 2885: Catalogue name: Xanthomonas citri pv. mangiferaeindicae (Patel et al. 1948) Constantin et al. 2016 comb. nov. Name as received: Xanthomonas campestris pv. mangiferaeindicae (Patel et al. 1948) Robbs, Ribeiro & Kimura 1974 Country: Reunion Host: Mangifera indica Year Added: 1976 Type strain of the species: No Pathotype strain: No Notes: Partial gene (gyrB) sequence indicates this is Xanthomonas citri. Other references: This isolate was isolated by ex J.G. Luisetti G21.5"
NCPPB 2894,NCPPB2894,Xanthomonas euvesicatoria pv. alfalfae (ex Riker et al. 1935) Constantin et al. 2016 comb. nov.,Xanthomonas alfalfae,Xanthomonas campestris pv. alfalfae (Riker et al. 1935) Dye 1978,pv. alfalfae,Medicago sativa,Australia,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2894,,,1976,No,No,This isolate was isolated by M.L. Moffett 0238,,NCPPB No. 2894: Catalogue name: Xanthomonas euvesicatoria pv. alfalfae (ex Riker et al. 1935) Constantin et al. 2016 comb. nov. Name as received: Xanthomonas alfalfae Other name: Xanthomonas campestris pv. alfalfae (Riker et al. 1935) Dye 1978 Country: Australia Host: Medicago sativa Year Added: 1976 Type strain of the species: No Pathotype strain: No Other references: This isolate was isolated by M.L. Moffett 0238
NCPPB 2896,NCPPB2896,Xanthomonas arboricola pv. corylina (Miller et al. 1940) Vauterin et al. 1995,Xanthomonas corylina,Xanthomonas campestris pv. corylina (Miller et al. 1940) Dye 1978,pv. corylina,Corylus avellana,UK,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2896,,,1976,No,No,The donor reference is 164/7,,NCPPB No. 2896: Catalogue name: Xanthomonas arboricola pv. corylina (Miller et al. 1940) Vauterin et al. 1995 Name as received: Xanthomonas corylina Other name: Xanthomonas campestris pv. corylina (Miller et al. 1940) Dye 1978 Country: UK Host: Corylus avellana Year Added: 1976 Type strain of the species: No Pathotype strain: No Other references: The donor reference is 164/7
NCPPB 2898,NCPPB2898,Xanthomonas arboricola pv. corylina (Miller et al. 1940) Vauterin et al. 1995,Xanthomonas corylina,Xanthomonas campestris pv. corylina (Miller et al. 1940) Dye 1978,pv. corylina,Corylus avellana,UK,ICMP 7080,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2898,,,1976,No,No,This isolate is also in the collections; ICMP 7080 This isolate was isolated by P. Roberts A724A,,NCPPB No. 2898: Catalogue name: Xanthomonas arboricola pv. corylina (Miller et al. 1940) Vauterin et al. 1995 Name as received: Xanthomonas corylina Other name: Xanthomonas campestris pv. corylina (Miller et al. 1940) Dye 1978 Country: UK Host: Corylus avellana Year Added: 1976 Type strain of the species: No Pathotype strain: No Other references: This isolate is also in the collections; ICMP 7080 This isolate was isolated by P. Roberts A724A
NCPPB 2904,NCPPB2904,Xanthomonas translucens pv. translucens (Jones et al. 1917) Vauterin et al. 1995,Xanthomonas translucens Jones et al. 1917,Xanthomonas campestris pv. translucens (Jones et al. 1917) Dye 1978,pv. translucens,Lolium multiflorum,UK,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2904,,,1976,No,No,This isolate was isolated by P. Roberts A736,,NCPPB No. 2904: Catalogue name: Xanthomonas translucens pv. translucens (Jones et al. 1917) Vauterin et al. 1995 Name as received: Xanthomonas translucens Jones et al. 1917 Other name: Xanthomonas campestris pv. translucens (Jones et al. 1917) Dye 1978 Country: UK Host: Lolium multiflorum Year Added: 1976 Type strain of the species: No Pathotype strain: No Other references: This isolate was isolated by P. Roberts A736
NCPPB 2910,NCPPB2910,Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.,Xanthomonas manihotis (Berthet & Bondar 1915) Starr 1946,Xanthomonas campestris pv. manihotis (Berthet & Bondar 1915) Dye 1978,pv. manihotis,Manihot esculenta,Nigeria,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2910,,,1977,No,No,The donor reference is B5271 This isolate was isolated by ex R.W. Schneider 1186,,NCPPB No. 2910: Catalogue name: Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov. Name as received: Xanthomonas manihotis (Berthet & Bondar 1915) Starr 1946 Other name: Xanthomonas campestris pv. manihotis (Berthet & Bondar 1915) Dye 1978 Country: Nigeria Host: Manihot esculenta Year Added: 1977 Type strain of the species: No Pathotype strain: No Other references: The donor reference is B5271 This isolate was isolated by ex R.W. Schneider 1186
NCPPB 2914,NCPPB2914,Xanthomonas citri pv. rhynchosiae (Sabet et al. 1969) Constantin et al. 2016 comb. nov,Xanthomonas phaseoli f.sp .rhynchosiae Sabet et al. 1969,Xanthomonas campestris pv. rhynchosiae (Sabet et al. 1969) Dye 1978,pv. rhynchosiae,Rhynchosiae phaseoloides,Barbados,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2914,,,1977,No,No,The donor reference is B5300 The source of this isolate was ex D. Norse 507,,NCPPB No. 2914: Catalogue name: Xanthomonas citri pv. rhynchosiae (Sabet et al. 1969) Constantin et al. 2016 comb. nov Name as received: Xanthomonas phaseoli f.sp .rhynchosiae Sabet et al. 1969 Other name: Xanthomonas campestris pv. rhynchosiae (Sabet et al. 1969) Dye 1978 Country: Barbados Host: Rhynchosiae phaseoloides Year Added: 1977 Type strain of the species: No Pathotype strain: No Other references: The donor reference is B5300 The source of this isolate was ex D. Norse 507
NCPPB 2918,NCPPB2918,Xanthomonas sp. Dowson 1939,,Xanthomonas campestris (Pammel 1895) Dowson 1939 emend. Vauterin et al. 1995,,Crambe sp.,Malawi,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2918,,,1977,No,No,The donor reference is BS469 This isolate was isolated by J.F. Bradbury BS469,Pathovar unspecified.Fatty acid profile typical of xanthomonas.No good match,NCPPB No. 2918: Catalogue name: Xanthomonas sp. Dowson 1939 Other name: Xanthomonas campestris (Pammel 1895) Dowson 1939 emend. Vauterin et al. 1995 Country: Malawi Host: Crambe sp. Year Added: 1977 Type strain of the species: No Pathotype strain: No Notes: Pathovar unspecified.Fatty acid profile typical of xanthomonas.No good match Other references: The donor reference is BS469 This isolate was isolated by J.F. Bradbury BS469
NCPPB 2919,NCPPB2919,Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.,Xanthomonas manihotis (Berthet & Bondar 1915) Starr 1946,Xanthomonas campestris pv. manihotis (Berthet & Bondar 1915) Dye 1978,pv. manihotis,Manihot esculenta,Zaire,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2919,,,1977,No,No,The donor reference is B5530 This isolate was isolated by ex R.J. Williams CBZII 5972,,NCPPB No. 2919: Catalogue name: Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov. Name as received: Xanthomonas manihotis (Berthet & Bondar 1915) Starr 1946 Other name: Xanthomonas campestris pv. manihotis (Berthet & Bondar 1915) Dye 1978 Country: Zaire Host: Manihot esculenta Year Added: 1977 Type strain of the species: No Pathotype strain: No Other references: The donor reference is B5530 This isolate was isolated by ex R.J. Williams CBZII 5972
NCPPB 2920,NCPPB2920,Xanthomonas translucens pv. translucens (Jones et al. 1917) Vauterin et al. 1995,Xanthomonas translucens Jones et al. 1917,Xanthomonas campestris pv. translucens (Jones et al. 1917) Dye 1978,pv. translucens,Triticum durum x Secale cereale.,Mexico,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=2920,,,1977,No,No,This isolate was isolated by J.F. Bradbury B5562,,NCPPB No. 2920: Catalogue name: Xanthomonas translucens pv. translucens (Jones et al. 1917) Vauterin et al. 1995 Name as received: Xanthomonas translucens Jones et al. 1917 Other name: Xanthomonas campestris pv. translucens (Jones et al. 1917) Dye 1978 Country: Mexico Host: Triticum durum x Secale cereale. Year Added: 1977 Type strain of the species: No Pathotype strain: No Other references: This isolate was isolated by J.F. Bradbury B5562
