comparison	ncppb_number	record_status	field	change_class	old_value	new_value
v1_v3	NCPPB 1760	changed	alternative_names	value_added		Xanthomonas campestris pv. spermacoces (Srinivasan & Patel 1956) Dye 1978
v2_v3	NCPPB 1785	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978, Xanthomonas axonopodis pv. malvacearum (Smith 1901) Vauterin et al. 1995, Xanthomonas citri subsp. malvacearum (Smith 1901) Schaad et al. 2007
v1_v3	NCPPB 1785	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978, Xanthomonas axonopodis pv. malvacearum (Smith 1901) Vauterin et al. 1995, Xanthomonas citri subsp. malvacearum (Smith 1901) Schaad et al. 2007
v2_v3	NCPPB 1786	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. coracanae (Desai et al. 1965) Dye 1978	Xanthomonas campestris pv. coracanae (Desai et al. 1965) Dye 1978, Xanthomonas axonopodis pv. coracanae (Desai et al. 1965) Vauterin et al. 1995
v1_v3	NCPPB 1786	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. coracanae (Desai et al. 1965) Dye 1978	Xanthomonas campestris pv. coracanae (Desai et al. 1965) Dye 1978, Xanthomonas axonopodis pv. coracanae (Desai et al. 1965) Vauterin et al. 1995
v2_v3	NCPPB 1787	changed	alternative_names	value_added		Xanthomonas campestris pv. vernoniae (Patel et al. 1968) Dye 1978
v1_v3	NCPPB 1787	changed	alternative_names	value_added		Xanthomonas campestris pv. vernoniae (Patel et al. 1968) Dye 1978
v2_v3	NCPPB 1811	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978, Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995
v1_v3	NCPPB 1811	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978, Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995
v2_v3	NCPPB 1821	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. alfalfae (Riker et al. 1935) Dye 1978	Xanthomonas campestris pv. alfalfae (Riker et al. 1935) Dye 1978, Xanthomonas axonopodis pv. alfalfae (Riker et al. 1935) Vauterin et al. 1995, Xanthomonas alfalfae subsp. alfalfae (ex Riker et al. 1935) Schaad et al. 2007
v1_v3	NCPPB 1821	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. alfalfae (Riker et al. 1935) Dye 1978	Xanthomonas campestris pv. alfalfae (Riker et al. 1935) Dye 1978, Xanthomonas axonopodis pv. alfalfae (Riker et al. 1935) Vauterin et al. 1995, Xanthomonas alfalfae subsp. alfalfae (ex Riker et al. 1935) Schaad et al. 2007
v2_v3	NCPPB 1826	changed	alternative_names	probable_v3_truncation	Xanthomonas campestris (Pammel 1895) Dowson 1939 emend. Vauterin et al. 1995	Xanthomonas campestris
v1_v3	NCPPB 1826	changed	alternative_names	probable_v3_truncation	Xanthomonas campestris (Pammel 1895) Dowson 1939 emend. Vauterin et al. 1995	Xanthomonas campestris
