ncppb_number	snapshot_status	v1_sequence_category	v2_sequence_category	sequence_category_changed	v1_biosample_accessions	v2_biosample_accessions	biosample_accessions_changed	v1_assembly_accessions	v2_assembly_accessions	assembly_accessions_changed	v1_sra_run_accessions	v2_sra_run_accessions	sra_accessions_changed	v2_ncppb_track_matches	v2_other_references_track_matches
NCPPB 4037	present_in_both	complete_genome_available	complete_genome_available	no	SAMN42161492; SAMN22552836	SAMN42161492; SAMN22552836	no	GCF_041475695.1; GCF_020812955.1	GCF_041475695.1; GCF_020812955.1	no	SRR30040129; SRR29644154; SRR29823163	SRR29644154; SRR30040129; SRR29823163	no	SAMN42161492; SAMN22552836	
NCPPB 4058	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN24251536	SAMN24251536	no	GCF_021352915.1	GCF_021352915.1	no	SRR17286009	SRR17286009	no	SAMN24251536	
NCPPB 4181	present_in_both	raw_reads_only	raw_reads_only	no	SAMN39942677	SAMN39942677	no			no	SRR27965825	SRR27965825	no	SAMN39942677	
NCPPB 4183	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4210	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4231	present_in_both	draft_assembly_available	taxonomy_review_required_before_sequence_use	yes	SAMN22552841	SAMN22552841	no	GCF_020812995.1		yes	SRR29823162		yes	SAMN22552841	
NCPPB 4232	present_in_both	draft_assembly_available	taxonomy_review_required_before_sequence_use	yes	SAMN22552842	SAMN22552842	no	GCF_020813195.1		yes	SRR29823161		yes	SAMN22552842	
NCPPB 4321	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN14837221	SAMN14837221	no	GCF_013112235.1	GCF_013112235.1	no	SRR11788032	SRR11788032	no		SAMN14837221
NCPPB 4322	present_in_both	draft_assembly_available	ambiguous_needs_review	yes	SAMN23026091		yes	GCF_020879955.1		yes	SRR16936522		yes		
NCPPB 4323	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4324	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4326	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4340	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4341	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4342	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4343	present_in_both	ambiguous_candidate_records_need_review	no_confirmed_public_data	yes			no			no			no		
NCPPB 4344	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4345	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN22555471	SAMN22555471	no	GCA_020783755.1	GCA_020783755.1	no	SRR22272565	SRR22272565	no	SAMN22555471	
NCPPB 4346	present_in_both	complete_genome_available	taxonomy_review_required_before_sequence_use	yes	SAMN10956069; SAMN03862116	SAMN10956069; SAMN03862116	no	GCF_001276975.2		yes	SRR8618953; SRR2133447		yes	SAMN10956069; SAMN03862116	
NCPPB 4347	present_in_both	raw_reads_only	raw_reads_only	no	SAMN42488056	SAMN42488056	no			no	SRR29823102	SRR29823102	no	SAMN42488056	
NCPPB 4348	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN19988985	SAMN19988985	no	GCF_019201145.1	GCF_019201145.1	no	SRR15305428	SRR15305428	no	SAMN19988985	
NCPPB 4349	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN19988986	SAMN19988986	no	GCF_019201165.1	GCF_019201165.1	no	SRR15305416	SRR15305416	no	SAMN19988986	
NCPPB 4350	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN56511372; SAMN44672901; SAMD00253079	SAMN56511372; SAMN44672901; SAMD00253079	no	GCF_046365405.1	GCF_046365405.1	no	SRR37789904; SRR37629087; SRR31305555	SRR37629087; SRR37789904; SRR31305555	no	SAMN56511372; SAMN44672901	SAMD00253079
NCPPB 4351	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN19988987	SAMN19988987	no	GCF_019201265.1	GCF_019201265.1	no	SRR15305410	SRR15305410	no	SAMN19988987	
NCPPB 4352	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN19988988	SAMN19988988	no	GCF_019201205.1	GCF_019201205.1	no	SRR15305413	SRR15305413	no	SAMN19988988	
NCPPB 4353	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4355	present_in_both	chromosome_level_assembly_available	chromosome_level_assembly_available	no	SAMN02646549	SAMN02646549	no	GCF_000730305.1	GCF_000730305.1	no			no		SAMN02646549
NCPPB 4356	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN09704276; SAMN24251551; SAMN05560222; SAMD00253043	SAMN09704276; SAMN24251551; SAMN05560222; SAMD00253043	no	GCF_021352995.1; GCF_002939985.1	GCF_021352995.1; GCF_002939985.1	no	SRR7628813; SRR17286016	SRR7628813; SRR17286016	no	SAMN09704276	SAMN24251551; SAMN05560222; SAMD00253043
NCPPB 4363	present_in_both	raw_reads_only	raw_reads_only	no	SAMN56511373	SAMN56511373	no			no	SRR37789903; SRR37629086	SRR37629086; SRR37789903	no	SAMN56511373	
NCPPB 4364	present_in_both	raw_reads_only	raw_reads_only	no	SAMN56511374	SAMN56511374	no			no	SRR37789902; SRR37629085	SRR37629085; SRR37789902	no	SAMN56511374	
NCPPB 4367	present_in_both	raw_reads_only	raw_reads_only	no	SAMN56511375	SAMN56511375	no			no	SRR37789901; SRR37629084	SRR37629084; SRR37789901	no	SAMN56511375	
NCPPB 4372	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4373	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4374	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4375	present_in_both	no_confirmed_public_sequence_data	ambiguous_needs_review	yes			no			no			no		
NCPPB 4376	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMEA114332027	SAMEA114332027	no	GCF_963669575.1	GCF_963669575.1	no	ERR12095366	ERR12095366	no		SAMEA114332027
NCPPB 4377	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4378	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN20034692	SAMN20034692	no	GCF_019209705.1	GCF_019209705.1	no	SRR29823136	SRR29823136	no	SAMN20034692	
