ncppb_number	presence_pattern	v1_present	v2_present	v3_present	v1_v2_status	v2_v3_status	v1_v3_status	v1_v2_changed_fields	v2_v3_changed_fields	v1_v3_changed_fields	v1_current_name	v2_current_name	v3_current_name	latest_catalogue_url
NCPPB 2928	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas campestris pv. azadirachtae (Desai et al.1966) Dye 1978	Xanthomonas campestris pv. azadirachtae (Desai et al.1966) Dye 1978	Xanthomonas campestris pv. azadirachtae (Desai et al.1966) Dye 1978	https://ncppb.fera.co.uk/furtherinfo/2928
NCPPB 2930	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas vasicola pv. holcicola (Elliott 1930) Vauterin et al. 1995	Xanthomonas vasicola pv. holcicola (Elliott 1930) Vauterin et al. 1995	Xanthomonas vasicola pv. holcicola (Elliott 1930) Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/2930
NCPPB 2931	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb.nov.	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb.nov.	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb.nov.	https://ncppb.fera.co.uk/furtherinfo/2931
NCPPB 2932	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas euvesicatoria pv. daturae (Jain, Dange & Siradhana 1975) Harrison et al. 2023	Xanthomonas euvesicatoria pv. daturae (Jain, Dange & Siradhana 1975) Harrison et al. 2023	Xanthomonas euvesicatoria pv. daturae (Jain, Dange & Siradhana 1975) Harrison et al. 2023	https://ncppb.fera.co.uk/furtherinfo/2932
NCPPB 2933	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		current_name; name_as_received; alternative_names; country	current_name; name_as_received; alternative_names; country	Xanthomonas sp. Dowson 1939	Xanthomonas sp. Dowson 1939	Xanthomonas hortorum Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/2933
NCPPB 2934	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names; notes	Xanthomonas sp. Dowson 1939	Xanthomonas sp. Dowson 1939	Xanthomonas sp. Dowson 1939	https://ncppb.fera.co.uk/furtherinfo/2934
NCPPB 2935	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas euvesicatoria pv. daturae (Jain, Dange & Siradhana 1975) Harrison et al. 2023	Xanthomonas euvesicatoria pv. daturae (Jain, Dange & Siradhana 1975) Harrison et al. 2023	Xanthomonas euvesicatoria pv. daturae (Jain, Dange & Siradhana 1975) Harrison et al. 2023	https://ncppb.fera.co.uk/furtherinfo/2935
NCPPB 2936	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas euvesicatoria pv. argemones (Srinivasan et al. 1961) Constantin et al. 2016 comb. nov.	Xanthomonas euvesicatoria pv. argemones (Srinivasan et al. 1961) Constantin et al. 2016 comb. nov.	Xanthomonas euvesicatoria pv. argemones (Srinivasan et al. 1961) Constantin et al. 2016 comb. nov.	https://ncppb.fera.co.uk/furtherinfo/2936
NCPPB 2938	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb.nov.	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb.nov.	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb.nov.	https://ncppb.fera.co.uk/furtherinfo/2938
NCPPB 2949	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas fragariae Kennedy and King 1962	Xanthomonas fragariae Kennedy and King 1962	Xanthomonas fragariae Kennedy and King 1962	https://ncppb.fera.co.uk/furtherinfo/2949
NCPPB 2953	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas populi (ex Ridé 1958) van den Mooter & Swings 1990	Xanthomonas populi (ex Ridé 1958) van den Mooter & Swings 1990	Xanthomonas populi (ex Ridé 1958) van den Mooter & Swings 1990	https://ncppb.fera.co.uk/furtherinfo/2953
NCPPB 2955	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas populi (ex Ridé 1958) van den Mooter & Swings 1990	Xanthomonas populi (ex Ridé 1958) van den Mooter & Swings 1990	Xanthomonas populi (ex Ridé 1958) van den Mooter & Swings 1990	https://ncppb.fera.co.uk/furtherinfo/2955
NCPPB 2959	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas populi (ex Ridé 1958) van den Mooter & Swings 1990	Xanthomonas populi (ex Ridé 1958) van den Mooter & Swings 1990	Xanthomonas populi (ex Ridé 1958) van den Mooter & Swings 1990	https://ncppb.fera.co.uk/furtherinfo/2959
NCPPB 2960	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas populi (ex Ridé 1958) van den Mooter & Swings 1990	Xanthomonas populi (ex Ridé 1958) van den Mooter & Swings 1990	Xanthomonas populi (ex Ridé 1958) van den Mooter & Swings 1990	https://ncppb.fera.co.uk/furtherinfo/2960
NCPPB 2963	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		current_name; alternative_names	current_name; alternative_names	Xanthomonas populi subsp. populi (ex Ridé 1958) van den Mooter & Swings 1990	Xanthomonas populi subsp. populi (ex Ridé 1958) van den Mooter & Swings 1990	Xanthomonas populi (ex Ridé 1958) van den Mooter & Swings 1990	https://ncppb.fera.co.uk/furtherinfo/2963
