ncppb_number	current_name	name_as_received	alternative_names	country	host	year_added	type_strain_of_species	pathotype_strain	notes	reference	ncppb_catalogue_url	source_page
NCPPB 1829	Xanthomonas sp. Dowson 1939		Xanthomonas campestris	Sudan	Jatropha curcas	1966	No	No	Pathovar unspecified. Fatty acid profile not typical of xanthomonas.Close to Agrobacterium Not a Xanthomonad. Re: Phylogenetic structure of Xanthomonas determined by comparison of gyrB sequences. Int.J.of Syst. and evol. Microbiology (2009),59,264-274.		https://ncppb.fera.co.uk/furtherinfo/1829	7
NCPPB 1830	Xanthomonas albilineans (Ashby 1929) Dowson 1943	Xanthomonas albilineans		Hawaii	Saccharum officinarum	1970	No	No			https://ncppb.fera.co.uk/furtherinfo/1830	7
NCPPB 1832	Xanthomonas arboricola pv. celebensis (Gaumann 1923) Vauterin et al. 1995	Xanthomonas celebensis	Xanthomonas campestris pv. celebensis (Gaumann 1923) Dye 1978	New Zealand	Musa sp	1966	No	Yes			https://ncppb.fera.co.uk/furtherinfo/1832	7
NCPPB 1833	Xanthomonas phaseoli pv. dieffenbachiae (McCulloch & Pirone 1939) Constantin et al. 2016 comb. nov.	Xanthomonas dieffenbachiae McCulloch & Pirone 1939	Xanthomonas campestris pv. dieffenbachiae (McCulloch & Pirone 1939) Dye 1978, Xanthomonas axonopodis pv. dieffenbachiae (McCulloch & Pirone 1939) Vauterin et al. 1995	Brazil	Anthurium sp.	1966	No	Yes			https://ncppb.fera.co.uk/furtherinfo/1833	7
NCPPB 1834	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	Xanthomonas manihotis (Berthet & Bondar 1915) Starr 1946	Xanthomonas campestris pv. manihotis (Berthet & Bondar 1915) Dye 1978, Xanthomonas axonopodis pv. manihotis (Bondar 1912) Vauterin et al. 1995	Unknown	Manihot esculenta.(cassava)	1966	No	Yes	Non-pigmented.		https://ncppb.fera.co.uk/furtherinfo/1834	7
NCPPB 1835	Burkholderia sp.	Xanthomonas panici	Pseudomonas syringae pv. panici (Elliott 1923) Young, Dye & Wilkie 1978	India		1966	No	No		Dye, D.W. 1966. N. Z. Jl. Sci. 9: 843	https://ncppb.fera.co.uk/furtherinfo/1835	7
NCPPB 1836	Xanthomonas cerealis pv. cerealis Tambong et al. 2024	Xanthomonas translucens f.sp cerealis Hagborg 1942	Xanthomonas campestris pv. cerealis (Hagborg 1942) Dye 1978; Xanthomonas translucens pv. cerealis (Hagborg 1942) Vauterin et al.1995	USA	Secale cereale	1966	No	No			https://ncppb.fera.co.uk/furtherinfo/1836	7
NCPPB 1837	Xanthomonas graminis pv. phlei Tambong et al. 2024	Xanthomonas translucens f.sp. phleipratensis Wallin & reddt 1945	Xanthomonas campestris pv. phleipratensis (Wallin & Reddy 1945) Dye 1978 Xanthomonas translucens pv. phleipratensis (Wallin & Reddy 1945) Vauterin et al. 1995	USA	Phleum pratense	1966	No	Yes			https://ncppb.fera.co.uk/furtherinfo/1837	7
NCPPB 1838	Xanthomonas citri pv. vignicola (Burkholder 1944) Constantin et al. 2016 comb. nov.	X. vignicola Burkholder 1944	Xanthomonas campestris pv. vignicola (Burkholder 1944) Dye 1978, Xanthomonas axonopodis pv. vignicola (Burkholder 1944) Vauterin et al.1995	USA	Vigna sinensis (cowpea cv. China Red)	1966	No	Yes		Literature: Ferraz, H. G. M.; Guimarães, L. M. S.; Badel, J. L.; Tótola, M. R.; Alfenas, A. C. (2017)Leaf blight and defoliation caused by two new pathovars of Xanthomonas axonopodis on Schinus terebinthifolius and Mabea fistulifera .Plant Pathology66(9)1527-1538. DOI: 10.1111/ppa.12705 Khatri-Chhetri, Gopal Bahadur; Wydra, Kerstin; Rudolph, Klaus (2003)European Journal of Plant Pathology109(8)851-860. DOI: 10.1023/A:1026104716650 Ferraz, Hélvio Gledson Maciel; Badel, Jorge Luis; da Silva Guimarães, Lúcio Mauro; Reis, Bruna Paolinelli; Tótola, Marcos Rogério; Gonçalves, Rivadalve Coelho; Alfenas, Acelino Couto (2018)Xanthomonas axonopodis pv. eucalyptorum pv. nov. Causing Bacterial Leaf Blight on Eucalypt in Brazil.The Plant Pathology Journal34(4)269-285. DOI: 10.5423/PPJ.OA.01.2018.0014 Young, J.M.; Park, D.-C.; Shearman, H.M.; Fargier, E. (2008)A multilocus sequence analysis of the genus Xanthomonas.Systematic and Applied Microbiology31(5)366-377. DOI: 10.1016/j.syapm.2008.06.00	https://ncppb.fera.co.uk/furtherinfo/1838	7
NCPPB 1839	Xanthomonas hortorum pv. vitians Morinière et al. 2020	Xanthomonas vitians (Brown 1918) Dowson 1943	Xanthomonas axonopodis pv. vitians (Brown 1918) Vauterin et al. 1995; Xanthomonas campestris pv. vitians (Brown 1918) Dye 1978	Brazil	Lactuca sativa	1966	No	No			https://ncppb.fera.co.uk/furtherinfo/1839	7
NCPPB 1841	Xanthomonas hortorum pv. vitians Morinière et al. 2020	Xanthomonas vitians (Brown 1918) Dowson 1943	Xanthomonas axonopodis pv. vitians (Brown 1918) Vauterin et al. 1995; Xanthomonas campestris pv. vitians (Brown 1918) Dye 1978	Brazil	Lactuca sativa.	1966	No	No	Produces brown diffusible pigment.		https://ncppb.fera.co.uk/furtherinfo/1841	7
NCPPB 1925	Xanthomonas axonopodis pv. begoniae (Takimoto 1934) Vauterin et al. 1995	Xanthomonas begoniae Takimoto 1934	Xanthomonas campestris pv. begoniae (Takimoto 1934) Dye 1978	Denmark	Begonia sp.	1966	No	No			https://ncppb.fera.co.uk/furtherinfo/1925	7
NCPPB 1929	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris (Pammel 1895) Dowson 1939		India	Brassica sp.	1966	No	No			https://ncppb.fera.co.uk/furtherinfo/1929	7
NCPPB 1930	Xanthomonas campestris pv. armoraciae (McCulloch 1929) Dye 1978	Xanthomonas campestris var. armoraciae (McCulloch 1929) Starr & Burkholder 1942		New Zealand	Armoracia lapathifolia	1966	No	No	Reported to be non-pathogenic		https://ncppb.fera.co.uk/furtherinfo/1930	7
NCPPB 1931	Pantoea agglomerans (Lohnis 1911) Dye 1964	Xanthomonas cosmosicola	Erwinia herbicola (Lohnis 1911) Dye 1964	New Zealand	Cosmos sulfureus	1966	No	No			https://ncppb.fera.co.uk/furtherinfo/1931	7
NCPPB 1932	Xanthomonas campestris pv. guizotiae (Yirgou 1964) Dye 1978			Ethiopia	Guizotia abyssinica	1966	No	Yes	Partial gene sequencing of gyrB (Parkinson et al. 2009) places this strain in Xanthomonas arboricola.		https://ncppb.fera.co.uk/furtherinfo/1932	7
NCPPB 1933	Xanthomonas campestris pv. guizotiae (Yirgou 1964) Dye 1978			Ethiopia	Guizotia abyssinica	1966	No	No			https://ncppb.fera.co.uk/furtherinfo/1933	7
NCPPB 1934	Xanthomonas campestris pv. incanae (Kendrick & Baker 1942) Dye 1978	Xanthomonas incanae (Kendrick & Baker 1942) Starr & Weiss 1943		USA	Matthiola incana	1966	No	No			https://ncppb.fera.co.uk/furtherinfo/1934	7
NCPPB 1935	Xanthomonas campestris pv. nigromaculans (Takimoto 1927) Dye 1978			Japan	Unknown	1966	No	Yes	This organism has been placed in Xanthomonas hortorum by many authors e.g. Harrison et al. 2023 https://doi.org/10.1099/acmi.0.000532.v3		https://ncppb.fera.co.uk/furtherinfo/1935	7
NCPPB 1936	Xanthomonas oryzae pv. oryzae (Ishiyama 1922) Swings et al. 1990	Xanthomonas oryzae	Xanthomonas campestris pv. oryzae (Ishiyama 1922) Dye 1978	India	Oryza sativa	1966	No	No			https://ncppb.fera.co.uk/furtherinfo/1936	7
NCPPB 1937	Sphingomonas sp. (Bryan and McWhorter 1930) Dye 1978	Xanthomonas campestris pv. papavericola		USA		1966	No	No	Papaver orientale. Strain received as Xanthomonas campestris pv. papavericola however, since identified as Sphingomonas sp. 09.01.26 SM		https://ncppb.fera.co.uk/furtherinfo/1937	7
NCPPB 1938	Xanthomonas campestris pv. plantaginis (Thornberry & Anderson 1937) Dye 1978	Xanthomonas plantaginis (Thornberry & Anderson 1937) Burkholder 1948		Australia	Plantago lanceolata	1966	No	No	Not pathogenic (D.W. Dye pers. comm.).		https://ncppb.fera.co.uk/furtherinfo/1938	7
NCPPB 1939	Xanthomonas axonopodis pv. poinsettiicola (Patel et al. 1951) Vauterin et al. 1995	Xanthomonas poinsettiicola Patel et al. 1951	Xanthomonas campestris pv. poinsettiicola (Patel et al. 1951) Dye 1978	USA	Euphorbia pulcherrima	1966	No	No			https://ncppb.fera.co.uk/furtherinfo/1939	7
NCPPB 1941	Pantoea anthophila Brady et al. 2009	Xanthomonas tagetis	Erwinia herbicola (Lohnis 1911 ) Dye 1964		Tagetes erecta	1966	No	No	WGS confirms this strain is Pantoea anthophila (NCPPB March 2025).		https://ncppb.fera.co.uk/furtherinfo/1941	7
NCPPB 1942	Xanthomonas translucens pv. translucens (Jones et al. 1917) Vauterin et al. 1995	Xanthomonas translucens Jones et al. 1917	Xanthomonas campestris pv. translucens (Jones et al. 1917) Dye 1978	Kenya		1966	No	No			https://ncppb.fera.co.uk/furtherinfo/1942	7
NCPPB 1943	Xanthomonas cerealis pv. cerealis Tambong et al. 2024	Xanthomonas translucens f.sp cerealis Hagborg 1942	Xanthomonas campestris pv. cerealis (Hagborg 1942) Dye 1978; Xanthomonas translucens pv. cerealis (Hagborg 1942) Vauterin et al.1995	USA	Hordeum vulgare	1966	No	No			https://ncppb.fera.co.uk/furtherinfo/1943	7
NCPPB 1944	Xanthomonas cerealis pv. cerealis Tambong et al. 2024	Xanthomonas translucens f.sp cerealis Hagborg 1942	Xanthomonas campestris pv. cerealis (Hagborg 1942) Dye 1978; Xanthomonas translucens pv. cerealis (Hagborg 1942) Vauterin et al.1995	USA	Bromus inermis	1966	No	Yes		Tambong JT, Xu R, Fleitas MC, Kutcher R. Taxonogenomic analysis of the Xanthomonas translucens complex leads to the descriptions of Xanthomonas cerealis sp. nov. and Xanthomonas graminis sp. nov. Int J Syst Evol Microbiol 2024; 74:6523. 10.1099/ijsem.0.006523	https://ncppb.fera.co.uk/furtherinfo/1944	7
NCPPB 1945	Xanthomonas translucens pv. undulosa (Smith et al. 1919) Vauterin et al. 1995	Xanthomonas translucens f.sp. undulosa Smith et al. 1919	Xanthomonas campestris pv. undulosa (Smith et al. 1919) Dye 1978	Canada	Triticum aestivum	1966	No	No			https://ncppb.fera.co.uk/furtherinfo/1945	7
NCPPB 1946	Xanthomonas campestris pv. raphani (White 1930) Dye 1978	Xanthomonas vesicatoria f.sp. raphani White) Starr & Burkholder 1942		USA	Raphanus sativus	1966	No	Yes	Xcc Race 5(Vicente et al. 2001)		https://ncppb.fera.co.uk/furtherinfo/1946	7
NCPPB 1974	Stenotrophomonas maltophilia (Hugh 1981) Palleroni and Bradbury 1993	Pseudomonas maltophilia	Xanthomonas maltophilia (Hugh 1981) Palleroni and Bradbury 1993		Cancer Patient		Yes	No			https://ncppb.fera.co.uk/furtherinfo/1974	7
NCPPB 1975	Stenotrophomonas maltophilia (Hugh 1981) Palleroni and Bradbury 1993	Pseudomonas maltophilia	Xanthomonas maltophilia (Hugh 1981) Palleroni and Bradbury 1993				No	No			https://ncppb.fera.co.uk/furtherinfo/1975	7
NCPPB 1981	Xanthomonas sp. Dowson 1939			UK	Pyrus communis	1967	No	No	Associated with plant material; not known to be pathogenic. Not a Xanthomonad. Re: Phylogenetic structure of Xanthomonas determined by comparison of gyrB sequences. Int.J.of Syst. and evol. Microbiology (2009),59,264-274.		https://ncppb.fera.co.uk/furtherinfo/1981	7
NCPPB 2005	Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978		Xanthomonas campestris pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	Ethiopia	Ensete ventricosum	1967	No	Yes			https://ncppb.fera.co.uk/furtherinfo/2005	7
NCPPB 2011	Xanthomonas hortorum pv. hederae (Arnaud 1920) Vauterin et al. 1995	Xanthomonas hederae	Xanthomonas campestris pv. hederae (Arnaud 1920) Dye 1978	UK	Hedera helix	1967	No	No			https://ncppb.fera.co.uk/furtherinfo/2011	8
NCPPB 2016	Xanthomonas hortorum pv. hederae (Arnaud 1920) Vauterin et al. 1995	Xanthomonas hederae	Xanthomonas campestris pv. hederae (Arnaud 1920) Dye 1978	UK	Hedera helix	1967	No	No			https://ncppb.fera.co.uk/furtherinfo/2016	8
NCPPB 2031	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris (Pammel 1895) Dowson 1939		South Africa	Brassica oleracea var. capitata	1967	No	No			https://ncppb.fera.co.uk/furtherinfo/2031	8
NCPPB 2044	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas vesicatoria (Doidge 1920) Dowson 1939	Xanthomonas campestris pv. vesicatoria (Doidge 1920) Dye 1978	Australia	Physalis peruviana	1968	No	No		Moffet, M.L. 1966. Qd. J. Agric. Anim. Sci. 23: 133	https://ncppb.fera.co.uk/furtherinfo/2044	8
NCPPB 2057	Xanthomonas euvesicatoria pv. heliotropii (Sabet et al.1969) Harrison et al. 2023		Xanthomonas campestris pv. heliotropii (Sabet et al.1969) Dye 1978	Sudan	Heliotropium sudanicum	1968	No	Yes			https://ncppb.fera.co.uk/furtherinfo/2057	8
NCPPB 2058	Xanthomonas citri pv. vignaeradiatae (Sabet et al. 1969) Constantin et al. 2016 comb. nov	Xanthomonas phaseoli f.sp.. vignaeradiatae Sabet et al. 1969	Xanthomonas campestris pv. vignaeradiatae (Sabet et al. 1969) Dye 1978, Xanthomonas axonopodis pv. vignaeradiatae (Sabet et al. 1969) Vauterin et al. 1995	Sudan	Vigna radiata	1968	No	Yes			https://ncppb.fera.co.uk/furtherinfo/2058	8
NCPPB 2059	Xanthomonas citri pv. vignicola (Burkholder 1944) Constantin et al. 2016 comb. nov.	Xanthomonas vignicola Burkholder 1944	Xanthomonas campestris pv. vignicola (Burkholder 1944) Dye 1978, Xanthomonas axonopodis pv. vignicola (Burkholder 1944) Vauterin et al.1995	Sudan	Vigna pubigera	1968	No	No			https://ncppb.fera.co.uk/furtherinfo/2059	8
NCPPB 2060	Xanthomonas citri pv. rhynchosiae (Sabet et al. 1969) Constantin et al. 2016 comb. nov	Xanthomonas phaseoli f.sp.rhynchosiae Sabet et al. 1969	Xanthomonas campestris pv. rhynchosiae (Sabet et al. 1969) Dye 1978, Xanthomonas axonopodis pv. rhynchosiae (Sabet et al. 1969) Vauterin et al.1995	Sudan	Rhynchosia memnonia	1968	No	No			https://ncppb.fera.co.uk/furtherinfo/2060	8
NCPPB 2061	Xanthomonas citri pv. vignicola (Burkholder 1944) Constantin et al. 2016 comb. nov.	Xanthomonas vignicola Burkholder 1944	Xanthomonas campestris pv. vignicola (Burkholder 1944) Dye 1978, Xanthomonas axonopodis pv. vignicola (Burkholder 1944) Vauterin et al.1995	Sudan	Vigna unguiculata	1968	No	No			https://ncppb.fera.co.uk/furtherinfo/2061	8
NCPPB 2062	Xanthomonas euvesicatoria pv. alfalfae (ex Riker et al. 1935) Constantin et al. 2016 comb. nov.	X. phaseoli f. sp. alfalfae	Xanthomonas campestris pv. alfalfae (Riker et al. 1935) Dye 1978, Xanthomonas axonopodis pv. alfalfae (Riker et al. 1935) Vauterin et al. 1995, Xanthomonas alfalfae subsp. alfalfae (ex Riker et al. 1935) Schaad et al. 2007	Sudan	Medicago sativa	1968	No	No			https://ncppb.fera.co.uk/furtherinfo/2062	8
NCPPB 2063	Xanthomonas axonopodis pv. cajani (Kulkarni et al. 1950) Vauterin et al. 1995	X. phaseoli f. sp. cajani.	Xanthomonas campestris pv. cajani (Kulkarni et al. 1950) Dye 1978	Sudan	Cajanus cajan	1968	No	No			https://ncppb.fera.co.uk/furtherinfo/2063	8
NCPPB 2064	Xanthomonas citri (ex Hasse 1915) Gabriel et al. 1989	Xanthomonas phaseoli (Smith 1897) Dowson 1939	Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995, Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978	Sudan	Dolichos lablab	1968	No	No	Partial gene sequence (gyrB) indicates that this is two bp different to NCPPB 554 X. citri pv. glycines	Sabet, K.A. Ishaq, F., Khalil, O. 1969. Ann. Appl. Biol. 63: 357	https://ncppb.fera.co.uk/furtherinfo/2064	8
NCPPB 2066	Xanthomonas axonopodis pv. phyllanthi (Sabet et al. 1969) Vauterin et al 1995	Xanthomonas ricini f.sp. phyllanthi Sabet et al. 1969	Xanthomonas campestris pv. phyllanthii (Sabet et al. 1969) Dye 1978	Sudan	Phyllanthus niruri	1968	No	Yes	Whole genome sequencing (NCPPB July 2025) indicates this organism is likely to be a pathovar of X. euvesicatoria.		https://ncppb.fera.co.uk/furtherinfo/2066	8
NCPPB 2067	Xanthomonas euvesicatoria pv. euphorbiae (Sabet et al.1969) Harrison et al. 2023		Xanthomonas campestris pv. euphorbiae (Sabet et al.1969) Dye 1978	Sudan	Euphorbia acalyphoides	1968	No	No			https://ncppb.fera.co.uk/furtherinfo/2067	8
NCPPB 2095	Xanthomonas hyacinthi (Wakker 1883) Vauterin et al. 1995	Xanthomonas hyacinthi	Xanthomonas campestris pv. hyacinthi (Wakker 1883) Dye 1978	UK	Hyacinthus orientalis	1968	No	No			https://ncppb.fera.co.uk/furtherinfo/2095	8
NCPPB 2097	Xanthomonas euvesicatoria pv. vernoniae (Patel et al. 1968) Harrison et al. 2023		Xanthomonas campestris pv. vernoniae (Patel et al. 1968) Dye 1978		Vernonia cinerea (Cyanthillium cinereum)		No	No			https://ncppb.fera.co.uk/furtherinfo/2097	8
NCPPB 2099	Xanthomonas campestris pv. zantedeschiae (Joubert & Truter 1972) Dye 1978			South Africa	Zantadeschia aethiopica	1968	No	No			https://ncppb.fera.co.uk/furtherinfo/2099	8
NCPPB 2147	Pseudomonas sp. Migula 1894	Xanthomonas type	Xanthomonas sp.	E. Germany	Asparagus officinalis	1968	No	No	Yellow pigmented Pseudomonas syringae.	Behr, L. 1967. Phytopath. Z. 60: 358	https://ncppb.fera.co.uk/furtherinfo/2147	8
NCPPB 2181	Xanthomonas translucens pv. translucens (Jones et al. 1917) Vauterin et al. 1995	X. translucens f. sp. hordei	Xanthomonas campestris pv. translucens (Jones et al. 1917) Dye 1978	Japan	Dactylis glomerata	1969	No	No		Tominaga, T. 1967. Jap. J. Bacteriol. 22: 628	https://ncppb.fera.co.uk/furtherinfo/2181	8
NCPPB 2182	Xanthomonas campestris pv. gummisudans (McCulloch 1924) Dye 1978			Netherlands	Gladiolus sp.	1969	No	Yes	Partial gene sequencing of gyrB (Parkinson et al. 2009) places this strain in Xanthomonas translucens.		https://ncppb.fera.co.uk/furtherinfo/2182	8
NCPPB 2183	Xanthomonas hyacinthi (Wakker 1883) Vauterin et al. 1995	Xanthomonas hyacinthi	Xanthomonas campestris pv. hyacinthi (Wakker 1883) Dye 1978	Netherlands	Hyacinthus orientalis	1969	No	No			https://ncppb.fera.co.uk/furtherinfo/2183	8
NCPPB 2190	Xanthomonas campestris pv. esculenti (Rangasami & Eswaran 1962) Dye 1978			Brazil	Hibiscus esculentus	1969	No	Yes	See also under E. herbicola.		https://ncppb.fera.co.uk/furtherinfo/2190	8
NCPPB 2217	Xylophilus ampelinus (Panagopoulos 1969) Willems et al. 1987		Xanthomonas ampelina Panagopoulos 1969	Greece	Vitis vinifera var. sultana	1968	Yes	No			https://ncppb.fera.co.uk/furtherinfo/2217	8
NCPPB 2218	Xylophilus ampelinus (Panagopoulos 1969) Willems et al. 1987		Xanthomonas ampelina Panagopoulos 1969	Greece	Vitis vinifera	1969	No	No		Panagopoulos, C.G. 1969. Annls. Inst. Phytopath. Benaki. N.S. 9: 59	https://ncppb.fera.co.uk/furtherinfo/2218	8
NCPPB 2226	Xanthomonas axonopodis pv. begoniae (Takimoto 1934) Vauterin et al. 1995	Xanthomonas begoniae Takimoto 1934	Xanthomonas campestris pv. begoniae (Takimoto 1934) Dye 1978	UK	Begonia sp.	1969	No	No			https://ncppb.fera.co.uk/furtherinfo/2226	8
NCPPB 2228	Xanthomonas axonopodis pv. biophyti (Patel et al.1969) Vauterin et al. 1995	Xanthomonas biophyti	Xanthomonas campestris pv. biophytii (Patel et al.1969) Dye 1978	India	Biophytum sensitivum	1969	No	Yes	Whole genome sequencing (NCPPB July 2025) indicates this organism is likely to be a pathovar of X. euvesicatoria.		https://ncppb.fera.co.uk/furtherinfo/2228	8
NCPPB 2229	Xanthomonas campestris pv. leeana (Patel & Kofasthane 1969) Dye 1978			India	Leea edgeworthii	1969	No	Yes			https://ncppb.fera.co.uk/furtherinfo/2229	8
NCPPB 2230	Xanthomonas axonopodis pv. fascicularis (Patel & Kotasthane 1969) Vauterin et al. 1995	Xanthomonas nakatae var. fascicularis Patel & Kotasthane 1969	Xanthomonas campestris pv. fascicularis (Patel & Kotasthane 1969) Dye 1978	India	Corchorus fascicularis	1969	No	Yes			https://ncppb.fera.co.uk/furtherinfo/2230	8
NCPPB 2247	Xanthomonas albilineans (Ashby 1929) Dowson 1943	Xanthomonas albilineans		Malawi	Saccharum officinarum	1969	No	No			https://ncppb.fera.co.uk/furtherinfo/2247	8
NCPPB 2248	Xanthomonas hortorum pv. vitians Morinière et al. 2020	Xanthomonas vitians (Brown 1918) Dowson 1943	Xanthomonas axonopodis pv. vitians (Brown 1918) Vauterin et al. 1995; Xanthomonas campestris pv. vitians (Brown 1918) Dye 1978	Zimbabwe	Lactuca sativa	1969	No	Yes			https://ncppb.fera.co.uk/furtherinfo/2248	8
NCPPB 2249	Xanthomonas albilineans (Ashby 1929) Dowson 1943	Xanthomonas albilineans		Barbados	Saccharum officinarum	1969	No	No			https://ncppb.fera.co.uk/furtherinfo/2249	8
NCPPB 2250	Xanthomonas sp.		Xanthomonas campestris	Mauritius	Zingiber officinale	1969	No	No	Pathovar unspecified. Fatty acid profile typical of xanthomonas.		https://ncppb.fera.co.uk/furtherinfo/2250	8
NCPPB 2251	Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	Xanthomonas campestris pv. musacearum	Xanthomonas campestris pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	Ethiopia	Musa sp.	1969	No	No			https://ncppb.fera.co.uk/furtherinfo/2251	8
NCPPB 2255	Xanthomonas phaseoli pv. syngonii (Dickey & Zumoff 1987) Constantin et al. 2016 comb. nov.	X. campestris pv. vitians	Xanthomonas campestris pv. syngonii Dickey & Zumoff 1987	USA	Syngonium podophyllum	1969	No	No	Weakly pathogenic to Lettuce (Wehlburg, per. comm).		https://ncppb.fera.co.uk/furtherinfo/2255	8
NCPPB 2257	Xanthomonas albilineans (Ashby 1929) Dowson 1943	Xanthomonas albilineans		Barbados	Saccharum officinarum	1970	No	No			https://ncppb.fera.co.uk/furtherinfo/2257	8
NCPPB 2258	Xanthomonas albilineans (Ashby 1929) Dowson 1943	Xanthomonas albilineans		St. Kitts	Saccharum officinarum	1970	No	No			https://ncppb.fera.co.uk/furtherinfo/2258	8
