ncppb_number	current_name	name_as_received	alternative_names	country	host	year_added	type_strain_of_species	pathotype_strain	notes	reference	ncppb_catalogue_url	source_page
NCPPB 2959	Xanthomonas populi (ex Ridé 1958) van den Mooter & Swings 1990	Aplanobacter populi	Xanthomonas populi subsp. populi (Ride 1958) Ride & Ride 1978	France	Populus canadensis cv. Regenerata	1977	Yes	No			https://ncppb.fera.co.uk/furtherinfo/2959	11
NCPPB 2960	Xanthomonas populi (ex Ridé 1958) van den Mooter & Swings 1990	Aplanobacter populi	Xanthomonas populi subsp. populi (Ride 1958) Ride & Ride 1978	France	Populus canadensis cv. Brabantica	1977	No	No	. A virulent re-isolate of NCPBB 2959.		https://ncppb.fera.co.uk/furtherinfo/2960	11
NCPPB 2963	Xanthomonas populi (ex Ridé 1958) van den Mooter & Swings 1990	Aplanobacter populi	Xanthomonas populi subsp. populi (Ride 1958) Ride & Ride 1978	Belgium	Populus trichocarpa x Populus deltoides	1977	No	No			https://ncppb.fera.co.uk/furtherinfo/2963	11
NCPPB 2965	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	Xanthomonas manihotis (Berthet & Bondar 1915) Starr 1946	Xanthomonas campestris pv. manihotis (Berthet & Bondar 1915) Dye 1978, Xanthomonas axonopodis pv. manihotis (Bondar 1912) Vauterin et al. 1995	Brazil	Manihot esculenta	1977	No	No			https://ncppb.fera.co.uk/furtherinfo/2965	11
NCPPB 2967	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	Xanthomonas manihotis (Berthet & Bondar 1915) Starr 1946	Xanthomonas campestris pv. manihotis (Berthet & Bondar 1915) Dye 1978, Xanthomonas axonopodis pv. manihotis (Bondar 1912) Vauterin et al. 1995	Brazil	Manihot esculenta	1977	No	No			https://ncppb.fera.co.uk/furtherinfo/2967	11
NCPPB 2968	Xanthomonas euvesicatoria pv. euvesicatoria (Jones et al. 2006) Constantin et al. 2016 comb. nov.	Xanthomonas vesicatoria (Doidge 1920) Dowson 1939	Xanthomonas campestris pv. vesicatoria (Doidge 1920) Dye 1978, Xanthomonas axonopodis pv. vesicatoria Vauterin et al. 1995 (Invalid name), Xanthomonas euvesicatoria Jones et al. 2006	USA	Capsicum frutescens	1977	Yes	No			https://ncppb.fera.co.uk/furtherinfo/2968	11
NCPPB 2969	Xanthomonas albilineans (Ashby 1929) Dowson 1943	Xanthomonas albilineans		Fiji	Saccharum officinarum	1977	Yes	No			https://ncppb.fera.co.uk/furtherinfo/2969	11
NCPPB 2970	Xanthomonas campestris pv. papavericola (Bryan and McWhorter 1930) Dye 1978			USA	Papaver rhoeas	1977	No	Yes			https://ncppb.fera.co.uk/furtherinfo/2970	11
NCPPB 2973	Xanthomonas axonopodis pv. cassiae (Kulkarni et al. 1951) Vauterin et al. 1995	Xanthomonas phaseoli f.sp. cassiae	Xanthomonas campestris pv. cassiae (Kulkarni et al. 1951) Dye 1978	Unknown	Cassia tora	1977	No	Yes			https://ncppb.fera.co.uk/furtherinfo/2973	11
NCPPB 2977	Xanthomonas citri pv. thirumalacharii (Padhya & Patel 1964) Constantin et al. 2016 comb. nov.		Xanthomonas campestris pv. thirumalacharii (Padhya & Patel 1964) Dye 1978	India	Triumfetta pilosa	1977	No	No	Possibly a duplicate of NCPPB 1452 (19/03/04). Described by D.W. Dye as the Type strain (1977).		https://ncppb.fera.co.uk/furtherinfo/2977	11
