ncppb_number	ncppb_current_name	confirmed_biosample_accessions	provisional_biosample_accessions	preferred_resource_type	preferred_biosample_accession	preferred_sequence_accessions	preferred_sequence_scope	preferred_assembly_level	sequence_bioproject_accessions	phylogeny_readiness	download_tool	download_command	qc_required	identity_review_required	taxonomy_review_required	selection_block_reason	selection_reason
NCPPB 973	Xanthomonas translucens pv. translucens (Jones et al. 1917) Vauterin et al. 1995	SAMN23026111; SAMEA2271958; SAMN43281667; SAMD00253072	SAMEA4358958	assembly	SAMN43281667	GCF_042432025.1	whole_genome_assembly	Scaffold	PRJNA595761	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_042432025.1 --include genome --filename NCPPB_973_GCF_042432025.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 974	Xanthomonas translucens pv. translucens (Jones et al. 1917) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 975	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 976	Xanthomonas citri (ex Hasse 1915) Gabriel et al. 1989	SAMN09704274; SAMN11047482		none						taxonomy_review_required_before_use			not_applicable	no	yes	taxonomy_review_required	Linked sequence exists, but taxonomy review blocks automatic downstream selection.
NCPPB 983	Xanthomonas campestris pv. barbareae (Burkholder 1941) Dye 1978	SAMN22552839		assembly	SAMN22552839	GCF_020813315.3	whole_genome_assembly	Complete Genome	PRJNA774128	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_020813315.3 --include genome --filename NCPPB_983_GCF_020813315.3.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 984	Xanthomonas arboricola pv. corylina (Miller et al. 1940) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 985	Xanthomonas phaseoli pv. dieffenbachiae (McCulloch & Pirone 1939) Constantin et al. 2016 comb. nov.	SAMN02903999		none						taxonomy_review_required_before_use			not_applicable	no	yes	taxonomy_review_required	Linked sequence exists, but taxonomy review blocks automatic downstream selection.
NCPPB 986	Xanthomonas phaseoli pv. dieffenbachiae (McCulloch & Pirone 1939) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 987	Xanthomonas hortorum pv. hederae (Arnaud 1920) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 989	Xanthomonas vasicola pv. holcicola (Elliott 1930) Vauterin et al. 1995	SAMN03140188		assembly	SAMN03140188	GCF_000772795.1	whole_genome_assembly	Scaffold	PRJNA264718	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_000772795.1 --include genome --filename NCPPB_989_GCF_000772795.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 990	Xanthomonas campestris pv. incanae (Kendrick & Baker 1942) Dye 1978			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
