ncppb_number	snapshot_status	ncppb_current_name	expected_genus	scope_status	catalogue_host	catalogue_country	ncbi_biosample_match_count	ncbi_assembly_count	ncbi_sra_run_count	ncbi_bioproject_count	ncbi_sequence_resource_count	ncbi_record_match_count	ncbi_eligible_assembly_count	ncbi_eligible_sra_run_count	ncbi_eligible_sequence_resource_count	ncbi_taxonomy_blocked_resource_count	has_confirmed_ncbi_data	ncbi_data_status	sequence_availability_category	phylogeny_readiness	manual_review_required	confirmed_biosample_accessions	linked_assembly_accessions	linked_sra_run_accessions	assembly_accessions	sra_run_accessions	bioproject_accessions	taxonomy_blocked_biosample_accessions
NCPPB 646	present_in_both	Xanthomonas axonopodis pv. khayae (Sabet 1959) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Khaya senegalensis (mahogany)	Sudan	1	1	2	3	3	7	1	2	3	0	yes	confirmed_sequence_available	complete_genome_available	assembly_available_qc_required	yes	SAMN42284537	GCF_053615295.1	SRR29695059; SRR30037787	GCF_053615295.1	SRR29695059; SRR30037787	PRJNA1131458	
NCPPB 647	present_in_both	Xanthomonas euvesicatoria pv. sesami (Sabet & Dowson 1960) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Sesamum indicum	Sudan	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 648	present_in_both	Xanthomonas euvesicatoria pv. alfalfae (ex Riker et al. 1935) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Medicago sativa	Sudan	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 670	present_in_both	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Phaseolus vulgaris	Uganda	1	1	1	3	2	6	1	1	2	0	yes	confirmed_sequence_available	draft_assembly_available	assembly_available_qc_required	no	SAMN03097370	GCF_000764875.1	SRR2052441	GCF_000764875.1	SRR2052441	PRJNA263153	
NCPPB 701	present_in_both	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Solanum lycopersicum	Zimbabwe	1	1	1	3	2	6	1	1	2	0	yes	confirmed_sequence_available	draft_assembly_available	assembly_available_qc_required	no	SAMN03175440	GCF_001469465.1	SRR4718188	GCF_001469465.1	SRR4718188	PRJNA266920	
NCPPB 702	present_in_both	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	Xanthomonas	current_xanthomonas	Saccharum officinarum	Zimbabwe	2	2	2	4	4	10	2	2	4	0	yes	confirmed_sequence_available	draft_assembly_available	assembly_available_qc_required	no	SAMN36357969; SAMN00002876	GCF_000159795.2; GCF_030551395.2	SRR020202; SRR25194036	GCF_030551395.2; GCF_000159795.2	SRR25194036; SRR020202	PRJNA992549; PRJNA31213	
NCPPB 761	present_in_both	Xanthomonas euvesicatoria pv. physalidicola (Goto & Okabe 1958) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Physalis alkekengii L. (Bladder cherry / Chinese Lantern)	Unknown	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 762	present_in_both	Xanthomonas pisi (ex Goto & Okabe 1958) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Pisum sativum L. (pea)	Japan (Shizuoka)	3	1	0	5	1	9	1	0	1	0	yes	confirmed_sequence_available	draft_assembly_available	assembly_available_qc_required	no	SAMD00537713; SAMN02894433; SAMD00253068	GCF_001010415.1		GCF_001010415.1		PRJNA232379	
NCPPB 793	present_in_both	Xanthomonas oryzae pv. oryzae (Ishiyama 1922) Swings et al. 1990	Xanthomonas	current_xanthomonas	Oryza sativa	India	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 795	present_in_both	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	Xanthomonas	current_xanthomonas	Saccharum officinarum	Malagasy Republic	2	2	2	4	4	10	2	2	4	0	yes	confirmed_sequence_available	draft_assembly_available	assembly_available_qc_required	no	SAMN20034691; SAMN36357970	GCF_019209805.1; GCF_030551295.2	SRR25194032; SRR29823134	GCF_019209805.1; GCF_030551295.2	SRR29823134; SRR25194032	PRJNA743420; PRJNA992549	
NCPPB 840	present_in_both	Xanthomonas axonopodis pv. patelii (Desai & Shah 1959) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Crotalaria juncea	India	1	1	2	3	3	7	1	2	3	0	yes	confirmed_sequence_available	complete_genome_available	assembly_available_qc_required	no	SAMN42280122	GCF_041464165.1	SRR29694608; SRR30018465	GCF_041464165.1	SRR29694608; SRR30018465	PRJNA742925	
NCPPB 875	present_in_both	Xanthomonas campestris pv. aberrans (Knosel 1961) Dye 1978	Xanthomonas	current_xanthomonas	Brassica oleracea var. botrytis	W. Germany	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 881	present_in_both	Xanthomonas hortorum pv. gardneri Morinière et al. (2020)	Xanthomonas	current_xanthomonas	Solanum lycopersicum	Yugoslavia (Serbia)	4	2	4	6	6	16	2	4	6	0	yes	confirmed_sequence_available	draft_assembly_available	assembly_available_qc_required	no	SAMN56511390; SAMN09704275; SAMN33574910; SAMN02471772	GCF_000192065.1; GCF_046589575.1	SRR23696936; SRR37629067; SRR37789884; SRR7628815	GCF_046589575.1; GCF_000192065.1	SRR37629067; SRR37789884; SRR7628815; SRR23696936	PRJNA1437458; PRJNA482368; PRJNA940592; PRJNA60023	
NCPPB 884	present_in_both	Xanthomonas axonopodis pv. patelii (Desai & Shah 1959) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Crotalaria juncea	India	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 885	present_in_both	Xanthomonas axonopodis pv. desmodiirotundifolii (Desai & Shah 1960) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Desmodium rotundifolium	India	1	1	2	3	3	7	1	2	3	0	yes	confirmed_sequence_available	complete_genome_available	assembly_available_qc_required	no	SAMN42278569	GCF_041464115.1	SRR29692757; SRR30016543	GCF_041464115.1	SRR29692757; SRR30016543	PRJNA742925	
NCPPB 887	present_in_both	Xanthomonas albilineans (Ashby 1929) Dowson 1943	Xanthomonas	current_xanthomonas	Saccharum officinarum	Mauritius	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 888	present_in_both	Xanthomonas sp. Dowson 1939	Xanthomonas	current_xanthomonas	Saccharum officinarum	South Africa	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 889	present_in_both	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	Xanthomonas	current_xanthomonas	Saccharum officinarum	South Africa	2	2	2	4	4	10	2	2	4	0	yes	confirmed_sequence_available	draft_assembly_available	assembly_available_qc_required	no	SAMN20080225; SAMN36357971	GCF_019200945.1; GCF_030551345.2	SRR25194031; SRR29823133	GCF_019200945.1; GCF_030551345.2	SRR29823133; SRR25194031	PRJNA743420; PRJNA992549	
NCPPB 891	present_in_both	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Thysanolaena maxima	Mauritius	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
