ncppb_number	clause_order	clause_type	raw_clause	raw_value	text_start	text_end	html_start	html_end	parse_status	risk_level	review_reason	source_snapshot_sha256
NCPPB 4663	1	donor_reference	The donor reference is WHRI 8960	WHRI 8960	0	32	2630572	2630633	parsed	medium		
NCPPB 4663	2	isolated_by	This isolate was isolated by J G Vicente	J G Vicente	33	73	2630637	2630678	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4664	1	donor_reference	The donor reference is WHRI 8959A	WHRI 8959A	0	33	2633597	2633659	parsed	medium		
NCPPB 4664	2	isolated_by	This isolate was isolated by J G Vicente	J G Vicente	34	74	2633663	2633704	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4665	1	donor_reference	The donor reference is WHRI 8964	WHRI 8964	0	32	2636629	2636690	parsed	medium		
NCPPB 4665	2	isolated_by	This isolate was isolated by J G Vicente	J G Vicente	33	73	2636694	2636735	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4666	1	donor_reference	The donor reference is WHRI 8984	WHRI 8984	0	32	2639362	2639423	parsed	medium		
NCPPB 4666	2	isolated_by	This isolate was isolated by J G Vicente	J G Vicente	33	73	2639427	2639468	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4668	1	donor_reference	The donor reference is WHRI 6181	WHRI 6181	0	32	2642221	2642282	parsed	medium		
NCPPB 4668	2	isolated_by	This isolate was isolated by J G Vicente	J G Vicente	33	73	2642286	2642327	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4668	3	source_of_isolate	The source of this isolate was FERA	FERA	74	109	2642331	2642367	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4669	1	donor_reference	The donor reference is WHRI 8450A	WHRI 8450A	0	33	2645264	2645326	parsed	medium		
NCPPB 4669	2	isolated_by	This isolate was isolated by B D Jensen	B D Jensen	34	73	2645330	2645370	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4669	3	source_of_isolate	The source of this isolate was FERA	FERA	74	109	2645374	2645410	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4670	1	donor_reference	The donor reference is WHRI 3849A	WHRI 3849A	0	33	2647837	2647899	parsed	medium		
NCPPB 4670	2	isolated_by	This isolate was isolated by C I Kado	C I Kado	34	71	2647903	2647941	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4670	3	source_of_isolate	The source of this isolate was FERA	FERA	72	107	2647945	2647981	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4671	1	donor_reference	The donor reference is WHRI 1279A	WHRI 1279A	0	33	2650891	2650953	parsed	medium		
NCPPB 4671	2	isolated_by	This isolate was isolated by J D Taylor	J D Taylor	34	73	2650957	2650997	parsed	medium	person_or_source_text_not_automatically_an_identifier	
