review_priority	ncppb_number	ncppb_current_name	current_accepted_biosamples	review_candidate_biosamples	candidate_organisms	matched_identifiers	matched_identifier_types	matched_fields	evidence_classes	taxonomy_statuses	review_reasons	discovery_tracks	biosample_urls	review_question	reviewer_decision	reviewer_notes
P2	NCPPB 3641	Xanthomonas campestris pv. parthenii Chand et al. 1995		SAMN30096797	Xanthomonas citri pv. punicae	XCP4	donor_reference	strain	structured_exact_identifier	same_genus_different_species	medium_identifier_requires_corroboration; same_genus_different_species	other_references	https://www.ncbi.nlm.nih.gov/biosample/SAMN30096797	Does the structured evidence support retaining this BioSample as a strain-level match?		
P2	NCPPB 3753	Xanthomonas campestris pv. cannabis Severin 1978	SAMN03164132	SAMN03164132	Xanthomonas cannabis pv. cannabis	NCPPB 3753	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_genus_different_species	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN03164132	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 3759	Xanthomonas euvesicatoria pv. obscurae (Chand & Singh 1994) Harrison et al. 2023	SAMN19988984	SAMN19988984	Xanthomonas campestris pv. obscurae	NCPPB 3759	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_genus_different_species	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988984	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 3795	Xanthomonas euvesicatoria pv. fici (Cavara 1905) Harrison et al. 2023	SAMN42175582	SAMN42175582	Xanthomonas campestris pv. fici	NCPPB 3795	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_genus_different_species	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN42175582	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 3796	Xanthomonas euvesicatoria pv. fici (Cavara 1905) Harrison et al. 2023	SAMN42175583	SAMN42175583	Xanthomonas campestris pv. fici	NCPPB 3796	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_genus_different_species	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN42175583	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 3797	Xanthomonas euvesicatoria pv. fici (Cavara 1905) Harrison et al. 2023	SAMN42175584	SAMN42175584	Xanthomonas campestris pv. fici	NCPPB 3797	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_genus_different_species	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN42175584	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 3886	Xanthomonas euvesicatoria pv. fici (Cavara 1905) Harrison et al. 2023	SAMN42175585	SAMN42175585	Xanthomonas campestris pv. fici	NCPPB 3886	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_genus_different_species	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN42175585	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 3887	Xanthomonas euvesicatoria pv. fici (Cavara 1905) Harrison et al. 2023	SAMN42175586	SAMN42175586	Xanthomonas campestris pv. fici	NCPPB 3887	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_genus_different_species	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN42175586	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 4231	Xanthomonas sp. Dowson 1939	SAMN22552841	SAMN22552841	Xanthomonas campestris	NCPPB 4231	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_genus_different_species	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN22552841	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 4232	Xanthomonas sp. Dowson 1939	SAMN22552842	SAMN22552842	Xanthomonas campestris	NCPPB 4232	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_genus_different_species	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN22552842	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
