ncppb_number	ncppb_current_name	snapshot_status	all_searchable_identifiers	confirmed_biosample_accessions	provisional_biosample_accessions	ncppb_track_biosample_accessions	other_references_track_biosample_accessions	historical_v1_recheck_biosample_accessions	assembly_accessions	assembly_levels	sra_run_accessions	bioproject_accessions	provisional_assembly_accessions	provisional_sra_run_accessions	provisional_bioproject_accessions	sequence_availability_category	identity_match_status	taxonomy_consistency_status	taxonomy_review_required	manual_review_required	review_reason	accepted_candidate_count	review_candidate_count	rejected_candidate_count
NCPPB 1759	Xanthomonas campestris pv. bilvae Chakravarti et al. 1984	present_in_v2_snapshot	NCPPB 1759; HACC-184	SAMN49561544; SAMEA114332028		SAMN49561544; SAMEA114332028			GCF_052883265.1; GCF_963669615.1	Complete Genome; Contig	ERR12095367	PRJNA1281506; PRJEB65884				complete_genome_available	confirmed_exact_ncppb_identifier	same_genus_different_species	yes	yes	same_genus_different_species	2	0	0
NCPPB 1760	Xanthomonas euvesicatoria pv. spermacoces (Srinivasan & Patel 1956) Harrison et al. 2023	present_in_v2_snapshot	NCPPB 1760; HACC-185; ATCC 17998; ICMP 5751; LMG 868	SAMN19988975		SAMN19988975			GCF_019201445.1	Contig	SRR15305421	PRJNA742925				draft_assembly_available	confirmed_exact_ncppb_identifier	same_genus_different_species	yes	yes	same_genus_different_species	1	0	0
NCPPB 1765	Xanthomonas hortorum pv. pelargonii (Brown 1923) Vauterin et al. 1995	present_in_v2_snapshot	NCPPB 1765													no_confirmed_public_data	no_confirmed_identity_match	not_assessed_no_confirmed_match	no	no		0	0	0
NCPPB 1774	Xanthomonas sp. Dowson 1939	present_in_v2_snapshot	NCPPB 1774													no_confirmed_public_data	no_confirmed_identity_match	not_assessed_no_confirmed_match	no	no		0	0	0
NCPPB 1785	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	present_in_v2_snapshot	NCPPB 1785													no_confirmed_public_data	no_confirmed_identity_match	not_assessed_no_confirmed_match	no	no		0	0	0
NCPPB 1786	Xanthomonas euvesicatoria pv. coracanae (Desai et al. 1965) Constantin et al. 2016 comb. nov.	present_in_v2_snapshot	NCPPB 1786; ICMP 5724; LMG 686													no_confirmed_public_data	no_confirmed_identity_match	not_assessed_no_confirmed_match	no	no		0	0	0
NCPPB 1787	Xanthomonas euvesicatoria pv. vernoniae (Patel et al. 1968) Harrison et al. 2023	present_in_v2_snapshot	NCPPB 1787; ICMP 5758; LMG 9058	SAMN19988976		SAMN19988976			GCF_019201345.1	Contig	SRR15305432	PRJNA742925				draft_assembly_available	confirmed_exact_ncppb_identifier	same_genus_different_species	yes	yes	same_genus_different_species	1	0	0
NCPPB 1811	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	present_in_v2_snapshot	NCPPB 1811	SAMN03257682; SAMN18440089		SAMN03257682; SAMN18440089			GCF_000808675.2; GCF_017745315.1	Contig; Scaffold	SRR2052881	PRJNA269946; PRJNA716613				draft_assembly_available	confirmed_exact_ncppb_identifier	same_name	no	no		2	0	0
NCPPB 1821	Xanthomonas euvesicatoria pv. alfalfae (ex Riker et al. 1935) Constantin et al. 2016 comb. nov.	present_in_v2_snapshot	NCPPB 1821; CFBP 7120													no_confirmed_public_data	no_confirmed_identity_match	not_assessed_no_confirmed_match	no	no		0	0	0
NCPPB 1822	Xanthomonas fragariae Kennedy and King 1962	present_in_v2_snapshot	NCPPB 1822; ICPB XF105	SAMN39942671; SAMEA4590042		SAMN39942671; SAMEA4590042			GCF_900380035.1	Contig	SRR27965831; ERR2528885	PRJNA991941; PRJEB25730				draft_assembly_available	confirmed_exact_ncppb_identifier	same_name	no	no		2	0	0
