ncppb_number	other_references
NCPPB 1633	This isolate is also in the collections; ICPB XSl, CFBP 7111 This isolate was isolated by ex W.H. Burkholder The source of this isolate was ex R.S. Dickey
NCPPB 1638	This isolate was isolated by A.C. Hayward B2290
NCPPB 1645	The donor reference is B2340 This isolate was isolated by ex A.H. Ramos SAL/163/B
NCPPB 1646	The donor reference is B2324A This isolate was isolated by ex W.S. Sutton
NCPPB 1648	This isolate was isolated by A.C. Hayward B2305
NCPPB 1654	The donor reference is B2330 This isolate is also in the collections; LMG 837 This isolate was isolated by ex B.H. Boelema F6
NCPPB 1659	This isolate was isolated by A.C. Hayward B2404
NCPPB 1668	The donor reference is CS56-27
NCPPB 1671	This isolate was isolated by A.C. Hayward B2536
NCPPB 1672	This isolate was isolated by A.C. Hayward B2540B
NCPPB 1680	This isolate is also in the collections; ICPB XP200 This isolate was isolated by D.C. Graham
NCPPB 1683	This isolate is also in the collections; ATCC 19867, ICMP 3945
NCPPB 1684	This isolate is also in the collections; ICPB XR117 This isolate was isolated by A.C. Hayward B2602
NCPPB 1685	The donor reference is B2631 This isolate was isolated by ex H.L. Harvey WA134
NCPPB 1697	This isolate was isolated by A.C. Hayward B2024
NCPPB 1698	The donor reference is B650 This isolate is also in the collections; ATCC 14985, LMG 7429 This isolate was isolated by ex C. Logan XL59/10
NCPPB 1699	This isolate was isolated by A.C. Hayward B2019
NCPPB 1700	The donor reference is B648 This isolate is also in the collections; ATCC 14982 This isolate was isolated by ex C. Logan XL 59/6
NCPPB 1701	This isolate is also in the collections; ATCC 14983 This isolate was isolated by A.C. Hayward B649 ex C. Logan XL59/9
NCPPB 1711	The donor reference is B1548 This isolate was isolated by ex M.D. Sutton P125
NCPPB 1712	This isolate was isolated by A.C. Hayward B1334
NCPPB 1713	This isolate was isolated by A.C. Hayward B912
NCPPB 1714	This isolate was isolated by A.C. Hayward B744
NCPPB 1715	This isolate was isolated by A.C. Hayward B1853
NCPPB 1717	The donor reference is B913
NCPPB 1737	This isolate was isolated by R.A. Lelliott X.a.7a
NCPPB 1738	This isolate was isolated by R.A. Lelliott X.a.5
NCPPB 1754	The donor reference is HACC-179 This isolate is also in the collections; ATCC 17992 This isolate was isolated by ex M.C. Srinivasan
NCPPB 1755	The donor reference is HACC-180 This isolate is also in the collections; ATCC 17993
NCPPB 1756	The donor reference is HACC-181 This isolate is also in the collections; ATCC 17994, ICMP 5746, LMG 846
NCPPB 1757	The donor reference is HACC-182 This isolate is also in the collections; ATCC 17995, PDDCC 57 22, LMG 557, ICMP 5722
NCPPB 1758	The donor reference is HACC-183 This isolate is also in the collections; ATCC 17996, ICMP 5725, LMG 867
NCPPB 1759	This isolate was isolated by ex M.C. Srinivasan 1871 The source of this isolate was ex M.J. Thirumalachar HACC-184
NCPPB 1760	The donor reference is HACC-185 This isolate is also in the collections; ATCC 17998, ICMP 5751, LMG 868
NCPPB 1765	This isolate was isolated by R.A. Skipp
NCPPB 1774	The donor reference is Pt3
NCPPB 1785	This isolate was isolated by M. K. Patel
NCPPB 1786	This isolate is also in the collections; ICMP 5724, LMG 686 This isolate was isolated by ex S.G. Desai
NCPPB 1787	This isolate is also in the collections; ICMP 5758, LMG 9058 This isolate was isolated by M.K. Patel
NCPPB 1811	This isolate was isolated by D.C. Graham
NCPPB 1821	This isolate is also in the collections; CFBP 7120 This isolate was isolated by T. Tominaga
NCPPB 1822	This isolate is also in the collections; ICPB XF105 This isolate was isolated by R.A. Lelliott
NCPPB 1826	This isolate was isolated by G.E. Jones C555
NCPPB 1827	This isolate is also in the collections; ICMP 5748, LMG 8021 This isolate was isolated by K.A. Sabet Rhyn 1
NCPPB 1828	This isolate is also in the collections; ICMP 5730, LMG 863 This isolate was isolated by K.A. Sabet Euph 1
NCPPB 1829	This isolate was isolated by K.A. Sabet Jat 100
NCPPB 1830	The source of this isolate was ex H. Koike 310
NCPPB 1832	This isolate is also in the collections; ATCC 19045, ICMP 1488, LMG 677 This isolate was isolated by ex D.W. Dye ZZ28
NCPPB 1833	This isolate is also in the collections; ICMP 5727, LMG 695 This isolate was isolated by ex C.F. Robbs ENA-350
NCPPB 1834	This isolate is also in the collections; ICMP 5741, LMG 773, CFBP 7153, ATCC 49073 This isolate was isolated by ex C.F. Robbs ENA-300
NCPPB 1836	The source of this isolate was ex J.R. Wallin 10b
NCPPB 1837	This isolate is also in the collections; ICMP 5744, LMG 843, CFBP 2540 The source of this isolate was ex J.R. Wallin 3
NCPPB 1838	This isolate is also in the collections; ICMP 333, ATCC 11648, CFBP 7112, LMG 8752 This isolate was isolated by ex W.H. Burkholder XV18
NCPPB 1839	This isolate was isolated by ex A.P. Viegas The source of this isolate was ex C.F. Robbs ENA-250
NCPPB 1841	This isolate was isolated by ex C.F. Robbs ENA-265
NCPPB 1925	This isolate was isolated by ex E. Hellmers The source of this isolate was ex ATCC 11726 ex W.H. Burkholder XB10
NCPPB 1929	This isolate is also in the collections; ITCC B47 The source of this isolate was ex M.K. Patel
NCPPB 1930	This isolate was isolated by ex W.H.Burkholder HI
NCPPB 1932	This isolate is also in the collections; ICMP 5743, LMG 731, ATCC 49072 This isolate was isolated by ex D. Yirgou I-l
NCPPB 1933	This isolate was isolated by ex D. Yirgou I-2
NCPPB 1934	This isolate was isolated by ex K.F. Baker
NCPPB 1935	This isolate is also in the collections; ATCC 23390, ICMP 80, LMG 787 This isolate was isolated by N. Okabe The source of this isolate was ex D.W. Dye ZT2 ex N. Okabe
NCPPB 1936	The source of this isolate was ex D.N. Srivastava
NCPPB 1938	The source of this isolate was ex P.A. Ark PA
NCPPB 1939	The source of this isolate was ex L.A. McFadden XP6
