ncppb_number,term_type,search_term
NCPPB 347,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 347"
NCPPB 347,current_name_plus_number,"""Xanthomonas campestris pv. armoraciae (McCulloch 1929) Dye 1978"" ""NCPPB 347"""
NCPPB 347,received_name_plus_number,"""Pseudomonas campestris var. armoraciae (McCulloch 1929) Krasilnikov 1949"" ""NCPPB 347"""
NCPPB 347,other_collection_number,ICMP 7
NCPPB 347,other_collection_number,LMG 535
NCPPB 348,ncppb_number,NCPPB 348
NCPPB 348,ncppb_number_compact,NCPPB348
NCPPB 348,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 348"
NCPPB 348,current_name_plus_number,"""Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov."" ""NCPPB 348"""
NCPPB 348,received_name_plus_number,"""Xanthomonas manihotis (Berthet & Bondar 1915) Starr 1946"" ""NCPPB 348"""
NCPPB 348,alternative_name_plus_number,"""Xanthomonas campestris pv. manihotis (Berthet & Bondar 1915) Dye 1978"" ""NCPPB 348"""
NCPPB 362,ncppb_number,NCPPB 362
NCPPB 362,ncppb_number_compact,NCPPB362
NCPPB 362,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 362"
NCPPB 362,current_name_plus_number,"""Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995"" ""NCPPB 362"""
NCPPB 362,received_name_plus_number,"""Xanthomonas juglandis"" ""NCPPB 362"""
NCPPB 362,alternative_name_plus_number,"""Xanthomonas campestris pv. juglandis (Pierce 1901) Dye 1978"" ""NCPPB 362"""
NCPPB 381,ncppb_number,NCPPB 381
NCPPB 381,ncppb_number_compact,NCPPB381
NCPPB 381,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 381"
NCPPB 381,current_name_plus_number,"""Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov."" ""NCPPB 381"""
NCPPB 381,received_name_plus_number,"""Xanthomonas phaseoli (Smith 1897) Dowson 1939"" ""NCPPB 381"""
NCPPB 381,alternative_name_plus_number,"""Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978 Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995"" ""NCPPB 381"""
NCPPB 381,other_collection_number,ATCC 19315
NCPPB 381,other_collection_number,LMG 826
NCPPB 381,other_collection_number,ICMP 239
NCPPB 381,other_collection_number,CFBP 6165
NCPPB 400,ncppb_number,NCPPB 400
NCPPB 400,ncppb_number_compact,NCPPB400
NCPPB 400,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 400"
NCPPB 400,current_name_plus_number,"""Xanthomonas hortorum pv. pelargonii (Brown 1923) Vauterin et al. 1995"" ""NCPPB 400"""
NCPPB 400,received_name_plus_number,"""Xanthomonas pelargonii"" ""NCPPB 400"""
NCPPB 400,alternative_name_plus_number,"""Xanthomonas campestris pv. pelargonii (Brown 1923) Dye 1978"" ""NCPPB 400"""
NCPPB 403,ncppb_number,NCPPB 403
NCPPB 403,ncppb_number_compact,NCPPB403
NCPPB 403,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 403"
NCPPB 403,current_name_plus_number,"""Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939"" ""NCPPB 403"""
NCPPB 403,received_name_plus_number,"""Xanthomonas campestris (Pammel 1895) Dowson 1939"" ""NCPPB 403"""
NCPPB 404,ncppb_number,NCPPB 404
NCPPB 404,ncppb_number_compact,NCPPB404
NCPPB 404,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 404"
NCPPB 404,current_name_plus_number,"""Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939"" ""NCPPB 404"""
NCPPB 404,received_name_plus_number,"""Xanthomonas campestris (Pammel 1895) Dowson 1939"" ""NCPPB 404"""
NCPPB 405,ncppb_number,NCPPB 405
NCPPB 405,ncppb_number_compact,NCPPB405
NCPPB 405,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 405"
NCPPB 405,current_name_plus_number,"""Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov."" ""NCPPB 405"""
NCPPB 405,received_name_plus_number,"""Xanthomonas citri (Hasse 1915) Dowson"" ""NCPPB 405"""
NCPPB 405,alternative_name_plus_number,"""Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979"" ""NCPPB 405"""
NCPPB 406,ncppb_number,NCPPB 406
NCPPB 406,ncppb_number_compact,NCPPB406
NCPPB 406,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 406"
NCPPB 406,current_name_plus_number,"""Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov."" ""NCPPB 406"""
NCPPB 406,received_name_plus_number,"""Xanthomonas citri (Hasse 1915) Dowson"" ""NCPPB 406"""
NCPPB 406,alternative_name_plus_number,"""Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979"" ""NCPPB 406"""
NCPPB 407,ncppb_number,NCPPB 407
NCPPB 407,ncppb_number_compact,NCPPB407
NCPPB 407,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 407"
NCPPB 407,current_name_plus_number,"""Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov."" ""NCPPB 407"""
NCPPB 407,received_name_plus_number,"""Xanthomonas citri (Hasse 1915) Dowson"" ""NCPPB 407"""
